# סוד החשמל — מסרים (messages) register, extracted from post id=1255 (wp_id=7358, 2015-11-12)
# Each row = one numbered message source unit with its stated attribution.
# parsed=329 distinct=328 range=0-360 gaps=33
# READ-ONLY extraction. Attributions are SOURCE CLAIMS as published, not verified biography.
# msg_no	stated_source
360	בשם אחד אדמורי קרלין
359	מסר מצדיק נסתר
358	מסר בשם אחד האדמורים על תש"פ
357	מסר מאת אחד הצדיקים בירושלים לא יהיה בחירות. על אירן ועוד…
356	מהפרנפוקטר אחרי מלחמת העולם השניה על זמן המשיח.
355	מהרבי מלובביץ שמשיח מגיע השנה
355	מהרב שינברגר זצ"ל – המשיח כבר מגיע…
354	מהרב כדורי והרב אבוחצירה על משיח שיבוא כשלא יצלחו להרכיב ממשלה
351	האדמו"ר ה'דברי חיים' מצאנז זצ"ל המשיח יתגלה באמריקה
350	מהרב חיים שטרן שליט"א על נפילת האבן מהכותל המערבי
349	מאחד האדמורי"ם זצ"ל
348	מהרב קוק שליט"א בעניין רעידת האדמה
346	מהרב שטינמן זצ"ל
345	חורף לא חורף וקיץ לא קיץ
343	מסר מהגר"ח קניבסקי שליט"א, בארץ ישראל לא צריך לפחד משום דבר
342	דברי הג"ר דוד חיים שטרן שליט"א
341	חלום של אחת מנשות האדמורי"ם זצ"ל
340	מצדיקים נסתרים בנושא מזג האוויר
339	מהאדמו"ר מצאנז שליט"א
338	מסר מהגר"ח קניבסקי הגראי"ל שטיינמן זצ"ל
337	מסר 336 מסר מהאדמו"ר מצאנז שליט"א
334	מסר מהגר"ח קניבסקי שליט"א
333	מסר מצדיקים נסתרים שליט"א
332	מסר מהרב כדורי מכתב יד זצוק"ל
330	על המתיחות בין אמריקא ורוסיה בשם הר' מקרלין זצ"ל
329	מסר מהרב בידרמן זצ"ל
327	מרבי יוסף וולטך זצ"ל על מלחמה בן רוסיה לאמריקא
326	מרבי דוד אבוחצירה שליט"א
325	מסר 324
323	מסר 322 דברי הגר"י וינטרויב זצ"ל
321	דברי האדמו"ר הבית ישראל מגור זצ"ל
320	מצדיק נסתר שליט"א
318	מהגר"ח קניבסקי שליט"א
317	סיפור מבית שמש
316	מהגר"ח קניבסקי שליט"א לעלות לא"י
311	דברי הגאון רבי יצחק אזרחי שליט"א בשם הגר"ח קניבסקי שליט"א שהמשיח כבר הגיע
310	מסר מאחד הצדיקים בענין מהומות באירן
309	עוד מהגר"ח קניבסקי שליט"א
308	חלומות של צדיק נסתר שליט"א
307	האדמו"ר הרי"צ מלובאויטש זצ"ל
306	המשגיח רבי דן סגל שליט"א
305	הג"ר דב קוק שליט"א
304	הג"ר ציון בוגנים שליט"א
303	הג"ר אליקים שלזינגר שליט"א על תשע"ח
302	בענין מכתב הבעש"ט על השואה
301	עוד צדיקים שדברו על שנת תשע"ח כשנת קץ
300	צדיקים שדברו על שנת תשע"ח כשנת קץ
299	סיכום הצדיקים שדברו על שנת תשע"ח כשנת קץ
298	סיפור מהגר"ח קניבסקי שליט"א
297	עוד בעניין הצדיק הרב פטילון
296	עוד בענין המסר מהצדיק הנסתר הרב פתליון זצ"ל
295	מסר מהצדיק הנסתר הרב פתליון זצ"ל
294	מסר מאחד הצדיקים הנסתרים שליט"א
293	דברי האדמו"ר רבי פנחס מקוריץ זצ"ל
292	הקלטה ברורה מדברי המקובל רבי לוי סעדיה נחמני זצ"ל על צפון קוריאה
291	דברי הג"ר דב קוק שליט"א
290	דברי חכם מנחם מנשה זצ"ל
288	דברי הג"ר יאשיהו פינטו על חורבן העולם בתשע"ח שליט"א
287	דברי הרבנית ליפקוביץ לפני פטירתה זצ"ל
286	דברי הגר"ח קניבסקי שליט"א ליהודי מקסיקו
285	דברי הגר"ח קניבסקי שליט"א ליהודי מקסיקו
284	דברי האדמו"ר מקולויזנבורג שליט"א סוכות תשע"ח
283	דברי המשגיח ר' דן סגל שליט"א ערב ר"ה תשע"ח
282	דברי הגר"ח קניבסקי שליט"א ליהודי ארה"ב אחרי השטפונות בחודש אלול תשע"ז
281	דברי האדמו"ר מקלוזינבורג זצ"ל שמשיח יבוא בשנה שר"ה יחול ביום חמישי
280	דברי הגר"ח קניבסקי שליט"א ליהודי ארה"ב שיעלו לארץ ישראל
279	דברי אחד הצדיקים הנסתרים שליט"א
278	דברי הרב מפונביז' זצ"ל על יהודי ארה"ב שיעלו לארץ ישראל
276	דברי הג"ר יצחק זילברשטיין שליט"א
275	דברי הג"ר בן ציון מוצפי שליט"א
274	דברי הג"ר יעקב הלל שליט"א
273	דברי הצדיק רבי חביב משעלי זצ"ל לפני פטירתו
272	ילד תסמונת דאון מדבר על משיח
271	דברי הצדיק רבי משה בן טוב זצ"ל
270	דברי הצדיק נסתר שליט"א על תשע"ח
269	דברי האדמו"ר מאמשינוב שליט"א
268	דברי האדמו"ר מגור שליט"א בתשעה באב תשע"ז
267	צמח הצלף בכותל המערבי
266	דברי הג"ר יצחק כדורי זצ"ל על שנת תשע"ז
265	דברי הרה"צ ר' מנדל שטייגר שליט"א
264	דברי הג"ר אביגדור נבנצל שליט"א
263	דברי האדמו"ר בעל השפע חיים מצאנז זצ"ל
262	דברי הגר"ח קניבסקי שליט"א
261	מסרים מכמה צדיקים נסתרים
260	הג"ר יוסף ברגר שליט"א בשם צדיק נסתר
259	דברי הג"ר שמואל שמואלי שליט"א
258	דברי הג"ר יצחק שיינר שליט"א
257	דברי האדמו"ר מגור שליט"א
256	החלום של הג"ר דוד אבוחצירא שליט"א על י"ז בתמוז תשע"ז
255	החלום של הג"ר מתתיהו סולומון שליט"א
254	גירסא חדשה בדברי החפץ חיים על מלחמת עולם שלישית
253	דברי האדמו"ר מסלונים שליט"א
252	מסר בשם אחד האדמורי"ם שליט"א
251	דברי הגר"מ מזוז שליט"א
250	דברי האדמו"ר מגור שליט"א
249	דברי האדמו"ר מגור שליט"א במוצאי שביעי של פסח תשע"ז
248	דברי הגרב"צ מוצפי שליט"א על חלומו של הגר"ע יוסף זצ"ל
247	דברי הג"ר לוי סעדיה נחמני זצ"ל על צפון קוריאה
246	דברי הגר"ש וואזנר זצ"ל שהגאולה היא בודאי בדור שלנו
245	דברי הג"ר דן סגל שליט"א
243	דברי הרבי מאמשינוב על המשיח
242	דברי הגר"ח קניבסקי שליט"א בחודש כסליו תשע"ז
241	מדברי הרב קנייבסקי
240	רמזים מהגאון המקובל ר' גמליאל רבינוביץ שליט"א בחנוכה תשע"ז
239	על פטירתו של האדמו"ר מזימגראד זצ"ל
238	הגר"ח קניבסקי שליט"א המחלוקות מעכבות את המשיח
237	מסר מצדיק גדול שהיה בתרדמת המשיח הגיע כבר (!)
236	דברי הרה"צ ר' בצלאל קלרמן זצ"ל לפני פטירתו
232	דברי הגרי"מ מורגנשטרן שליט"א בענין הכוכב
231	דברי האדמו"ר מהאלמין שליט"א
230	דברי האדמו"ר מפוריסוב שליט"א על בחירת טראמפ
229	דברי הגראי"ל שטינמן שליט"א על בחירת טראמפ
228	דברי הג"ר מרדכי גרוס שליט"א על בחירת טראמפ
226	דברי הג"ר שריה דבילצקי שליט"א על בחירת טראמפ
225	דברי הג"ר בן ציון מוצפי שליט"א על בחירת טראמפ
224	האדמו"ר מבעלזא לא אמר תחנון ביום שטראמפ נבחר לנשיא
223	דברי האדמו"ר מויז'ניץ שליט"א מה יקרה אם קלינטון תנצח בבחירות בארה"ב
222	דברי המשגיח רבי נתן וכטפויגל זצ"ל על רוסיה שתיכנס לסוריא וזה יהיה מלחמת גוג ומגוג
221	דברי הגר"ח קניבסקי שליט"א בתחילת תשע"ז
220	דברי הגר"ח קניבסקי שליט"א בתחילת תשע"ז
219	דברי צדיק נסתר מקובל מצפת שליט"א שהוא למעלה מגיל 100 שנים
218	דברי הג"ר דב קוק שליט"א
217	דברי הג"ר דב קוק שליט"א
216	דברי האדמו"ר מבעלזא שליט"א שמשיח בפתח
215	דברי הגראי"ל שטיינמן שליט"א שאנו נמצאים בזמן האמת שמשיח צריך להתגלות
214	דברי הגר"ח קניבסקי שליט"א שמשיח יכול לבא בתשע"ו ולא חייב לבוא
213	דברי הגר"מ מזוז שליט"א ודברי הגר"ח גריינימן זצ"ל
212	עוד מדברי הג"ר אריה פינקל זצ"ל לפני פטירתו
211	עוד מדברי הג"ר אריה פינקל זצ"ל לפני פטירתו
210	דברי הג"ר אריה פינקל זצ"ל לפני פטירתו
209	רמז מה'בית ישראל' מגור זצ"ל
208	מסר מאחד הצדיקים הנסתרים
207	דברי הגר"ח קניבסקי שליט"א לאדמו"ר ממישקולץ שליט"א
206	הג"ר דב קוק שליט"א משיח עומד להתגלות
205	דברי הג"ר מנדל שטייגר שליט"א
