# RESIDUAL LEGACY POST CORPUS — NUMERIC CLAIM LEDGER v1
#
# TOTAL 2864 claims: ENGINE_MATCH=1579 | NOT_ENGINE_REPRODUCED=963 | SOURCE_NATIVE_VARIANT=154 | SYSTEM_LAW_APPLICATION=152 | NEAR_MISS_<=3=16
# READ-ONLY. Every claim extracted from the 944-post residual corpus and classified against the
# LIVE canonical engine (public RPC: gematria_api + the 20 registered method functions).
# NOTHING was computed from memory. NO target-fitting: a claim is only ENGINE_MATCH if a registered
# method returns exactly the claimed value.
#
# class vocabulary:
#   ENGINE_MATCH             a registered canonical method reproduces the claimed value exactly
#   SOURCE_NATIVE_VARIANT    reproduces under an explicit historical operator (+כולל, -1, +אותיות, +מילים, combinations)
#   SYSTEM_LAW_APPLICATION   not a phrase calculation at all — a transform of an already-known number
#                            (millennium prefix +5000, decimal scaling x10, zero-law, אור-חוזר reversal,
#                             thousands-drop, spelled-numeral identity)
#   NEAR_MISS_<=3            within 3 of a registered method; recorded, NOT accepted
#   NOT_ENGINE_REPRODUCED    no registered method or justified operator reproduces it
#   NO_ENGINE_DATA           engine returned nothing for this string
#
# source: eq = '=' chain in body text | table = HTML table (value,phrase) row | begim = 'בגימטריה N'/'עולה N'
# columns: source	class	claimed_value	phrase	engine_detail	posts
#
eq	ENGINE_MATCH	424	משיח בן דוד	ragil	10,40,55,68,86,123,140,165,247,250,298,982,993,1074,1079,1098,1159,1185,1186,1189,1211,1235,1571,1596,1704,2600
eq	ENGINE_MATCH	358	משיח	gadol; ragil	26,28,68,86,102,123,228,250,977,1074,1098,1169,1171,1185,1214,1239,1240,1247,1284,1289,1308,1322,1368,1420,1520,1523,1753
eq	ENGINE_MATCH	776	ביאת המשיח	gadol; ragil	10,44,86,133,247,286,1086,1186,1251,1276,1277,1333,1345,1349,1354,1356,1372,1385,1514
eq	ENGINE_MATCH	45	גאולה	gadol; ragil	86,97,165,250,298,1165,1169,1185,1186,1390,1518,1545
eq	ENGINE_MATCH	776	צירוף מקרים	ragil	44,86,133,286,1251,1276,1277,1309,1326,1331,1345,1348,1372,1385
eq	ENGINE_MATCH	566	משיח בן יוסף	ragil	40,50,55,182,247,250,1185,1186,1575,1748
eq	ENGINE_MATCH	111	פלא	gadol; ragil	10,68,982,1098,1185,1239,1316,1321,1354,1395,1429,1514,1535,1545,1753
eq	ENGINE_MATCH	683	בנימין נתניהו	ragil	35,182,247,250,913,1074
eq	ENGINE_MATCH	14	דוד	gadol; ragil; siduri	27,55,59,86,97,133,140,165,242,298,1079,1098,1169
eq	ENGINE_MATCH	240	עמלק	gadol; ragil	247,1074,1214,1247,1340,1343,1344,1351,1359,1718
eq	ENGINE_MATCH	521	נתניהו	gadol; ragil	28,182,247,250,913,1074
eq	ENGINE_MATCH	626	בחירות	gadol; ragil	179,182,250,1074
eq	ENGINE_MATCH	776	תשע"ו	gadol; ragil	1251,1277,1331,1333,1345,1356,1368,1372,1707
eq	ENGINE_MATCH	396	דויד בן ישי	ragil	28,1185,1189,1239,1295,1345,1387
eq	ENGINE_MATCH	73	חכמה	gadol; ragil	298,1248,1581
eq	ENGINE_MATCH	358	נחש	gadol; ragil	68,977,1074,1214,1247,1420,1520,1523
eq	ENGINE_MATCH	1237	התגלות	misratar	44,68,133,1301,1302,1429
