# NUMERIC CLAIM LEDGER v2 — re-adjudicated under gematria_db_first_and_enrich_law v3
# DB-first (gematria_words 12,580 anchor phrases) + full registered-method sweep + historical
# operators + system-law transforms + ktiv male/haser expansion (ktiv_male_haser_repair_law v2).
# ORTHOGRAPHIC_CANDIDATE_SPECULATIVE = a GENERATED spelling that happens to hit; per ktiv law it is
# tier-C and is NOT counted as a resolution. Only ATTESTED (corpus-backed) variants resolve.
# source	class	claimed_value	phrase	detail	anchor_note	posts
# TOTALS: ENGINE_MATCH=1579 | NOT_ENGINE_REPRODUCED=1000 | SOURCE_NATIVE_VARIANT=162 | SYSTEM_LAW_APPLICATION=74 | ORTHOGRAPHIC_CANDIDATE_SPECULATIVE=30 | ORTHOGRAPHIC_VARIANT_MATCH_ATTESTED=10 | NEAR_MISS_<=3=9
eq	ENGINE_MATCH	424	משיח בן דוד	ragil		10,40,55,68,86,123,140,165,247,250,298,982,993,1074,1079,1098,1159,1185,1186,1189,1211,1235,1571,1596,1704,2600
eq	ENGINE_MATCH	358	משיח	gadol; ragil		26,28,68,86,102,123,228,250,977,1074,1098,1169,1171,1185,1214,1239,1240,1247,1284,1289,1308,1322,1368,1420,1520,1523,1753
eq	ENGINE_MATCH	776	ביאת המשיח	gadol; ragil		10,44,86,133,247,286,1086,1186,1251,1276,1277,1333,1345,1349,1354,1356,1372,1385,1514
eq	ENGINE_MATCH	45	גאולה	gadol; ragil		86,97,165,250,298,1165,1169,1185,1186,1390,1518,1545
eq	ENGINE_MATCH	776	צירוף מקרים	ragil		44,86,133,286,1251,1276,1277,1309,1326,1331,1345,1348,1372,1385
eq	ENGINE_MATCH	566	משיח בן יוסף	ragil		40,50,55,182,247,250,1185,1186,1575,1748
eq	ENGINE_MATCH	111	פלא	gadol; ragil		10,68,982,1098,1185,1239,1316,1321,1354,1395,1429,1514,1535,1545,1753
eq	ENGINE_MATCH	683	בנימין נתניהו	ragil		35,182,247,250,913,1074
eq	ENGINE_MATCH	14	דוד	gadol; ragil; siduri		27,55,59,86,97,133,140,165,242,298,1079,1098,1169
eq	ENGINE_MATCH	240	עמלק	gadol; ragil		247,1074,1214,1247,1340,1343,1344,1351,1359,1718
eq	ENGINE_MATCH	521	נתניהו	gadol; ragil		28,182,247,250,913,1074
eq	ENGINE_MATCH	626	בחירות	gadol; ragil		179,182,250,1074
eq	ENGINE_MATCH	776	תשע"ו	gadol; ragil		1251,1277,1331,1333,1345,1356,1368,1372,1707
eq	ENGINE_MATCH	396	דויד בן ישי	ragil		28,1185,1189,1239,1295,1345,1387
eq	ENGINE_MATCH	73	חכמה	gadol; ragil		298,1248,1581
eq	ENGINE_MATCH	358	נחש	gadol; ragil		68,977,1074,1214,1247,1420,1520,1523
eq	ENGINE_MATCH	1237	התגלות	misratar		44,68,133,1301,1302,1429
eq	ENGINE_MATCH	1202	התגלות משיח	gadol; ragil		123,182,250,298,1186,1205
eq	ENGINE_MATCH	718	חדשות	gadol; ragil		10,298,1185,1186,1295,1326,1395,1490
eq	ENGINE_MATCH	588	מלחמת גוג ומגוג	gadol; ragil		35,102,1239,1298,1321,1345,1348,1351
eq	ENGINE_MATCH	878	משיח	miluy		102,133,165,1074,1185,1295,1428
