filename,repo_path,artifact_group,phase_or_task,row_count,research_status,provenance,canonical_or_candidate,sha256,checksum_verified,row_count_verified,notes
gematria_words_high_trust_candidates.csv,docs/research-archive/2026-08-22-research-snapshot/era1-corpus-dna-whatsapp-intake/gematria_words_high_trust_candidates.csv,WhatsApp high-trust candidates,Corpus DNA — WhatsApp intake (era 1),293,SCRATCHPAD_ONLY,"scratchpad session scratchpad (this session, 2026-08-22)",candidate,278d812f7c020d839f3514feec2358466fa4e097dfb241216cd99d0ddfb1cdea,MATCH,MATCH,
gematria_words_whatsapp_unconnected.csv,docs/research-archive/2026-08-22-research-snapshot/era1-corpus-dna-whatsapp-intake/gematria_words_whatsapp_unconnected.csv,WhatsApp unconnected rows,Corpus DNA — WhatsApp intake (era 1),254,SCRATCHPAD_ONLY,"scratchpad session scratchpad (this session, 2026-08-22)",candidate,d19ae0fca0dc996702046c67abde372e7ea40904f79d9e40a9170c0c25f9b652,MATCH,MATCH,
gematria_words_wa_classified.csv,docs/research-archive/2026-08-22-research-snapshot/era1-corpus-dna-whatsapp-intake/gematria_words_wa_classified.csv,WhatsApp classified rows,Corpus DNA — WhatsApp intake (era 1),254,SCRATCHPAD_ONLY,"scratchpad session scratchpad (this session, 2026-08-22)",candidate,7d7a6647ca3d9ffde2b45df613be3778825c6091742f99112184e6b3fc30c1d1,MATCH,MATCH,
gematria_words_whatsapp_full_audit.csv,docs/research-archive/2026-08-22-research-snapshot/era1-corpus-dna-whatsapp-intake/gematria_words_whatsapp_full_audit.csv,WhatsApp full audit trail,Corpus DNA — WhatsApp intake (era 1),330,SCRATCHPAD_ONLY,"scratchpad session scratchpad (this session, 2026-08-22)",candidate,fe03fb74962bc6506126ea040fb374aeae69b36fd53ddd12eaa4f44715a24f9b,MATCH,MATCH,
classification_canonical_core.csv,docs/research-archive/2026-08-22-research-snapshot/era1-classification-batches-superseded/classification_canonical_core.csv,Classification batch: canonical-core,Corpus DNA — component classification batches (era 1),783,SUPERSEDED,"scratchpad session scratchpad (this session, 2026-08-22)",candidate (intermediate),1131cbe6c25d37b1034bd26594f8dd86f458a82bc8645975a2bb0f68a72c9f07,MATCH,MATCH,absorbed into MASTER_CLASSIFICATION_v3.csv
classification_raw_docx.csv,docs/research-archive/2026-08-22-research-snapshot/era1-classification-batches-superseded/classification_raw_docx.csv,Classification batch: raw-docx-import,Corpus DNA — component classification batches (era 1),7317,SUPERSEDED,"scratchpad session scratchpad (this session, 2026-08-22)",candidate (intermediate),ed45cd9c69750bc97847ce9186b6580f7e2c4c2160fb3604c1dca12b0a67748b,MATCH,MATCH,absorbed into MASTER_CLASSIFICATION_v3.csv
classification_contrib_events.csv,docs/research-archive/2026-08-22-research-snapshot/era1-classification-batches-superseded/classification_contrib_events.csv,Classification batch: contribution-events,Corpus DNA — component classification batches (era 1),1120,SUPERSEDED,"scratchpad session scratchpad (this session, 2026-08-22)",candidate (intermediate),faa86029101351061ba9dac0fdc86a38c4b82c87afac6a19328a18e0fda21352,MATCH,MATCH,absorbed into MASTER_CLASSIFICATION_v3.csv
classification_excel_import.csv,docs/research-archive/2026-08-22-research-snapshot/era1-classification-batches-superseded/classification_excel_import.csv,Classification batch: excel-import,Corpus DNA — component classification batches (era 1),5883,SUPERSEDED,"scratchpad session scratchpad (this session, 2026-08-22)",candidate (intermediate),04c918432f538c032135d4a5b761fe3f428aacbcc00ee05b145f250457602dce,MATCH,MATCH,absorbed into MASTER_CLASSIFICATION_v3.csv
classification_messianic_cluster.csv,docs/research-archive/2026-08-22-research-snapshot/era1-classification-batches-superseded/classification_messianic_cluster.csv,Classification batch: messianic-cluster,Corpus DNA — component classification batches (era 1),192,SUPERSEDED,"scratchpad session scratchpad (this session, 2026-08-22)",candidate (intermediate),4b6793eeed47defcd1436b5c49d6ca594019d2bcc8ef123581fd9a183c27730e,MATCH,MATCH,absorbed into MASTER_CLASSIFICATION_v3.csv
classification_low_confidence_resolved.csv,docs/research-archive/2026-08-22-research-snapshot/era1-classification-batches-superseded/classification_low_confidence_resolved.csv,Classification batch: low-confidence-resolved,Corpus DNA — component classification batches (era 1),986,SUPERSEDED,"scratchpad session scratchpad (this session, 2026-08-22)",candidate (intermediate),c4d9c3e866b477073dfd6bf666b958ac1be6497a7d41d3ae22a86394b8875d35,MATCH,MATCH,absorbed into MASTER_CLASSIFICATION_v3.csv
STEP2_ambiguous62_resolved.csv,docs/research-archive/2026-08-22-research-snapshot/era1-classification-batches-superseded/STEP2_ambiguous62_resolved.csv,Master Classification build step 2,Master Classification build steps (era 1),62,SUPERSEDED,"scratchpad session scratchpad (this session, 2026-08-22)",candidate (intermediate),7b537d18e93dec4c7a133963d6ae42bdd73e71dd0fd7dc93a5b9d65ec5953e4a,MATCH,MATCH,absorbed into MASTER_CLASSIFICATION_v3.csv
STEP3_whatsapp_structured.csv,docs/research-archive/2026-08-22-research-snapshot/era1-classification-batches-superseded/STEP3_whatsapp_structured.csv,Master Classification build step 3,Master Classification build steps (era 1),330,SUPERSEDED,"scratchpad session scratchpad (this session, 2026-08-22)",candidate (intermediate),1ace5da4805e0b30ca76e38107e4c2af955c114a98d9521fbaed0aaf5648575c,MATCH,MATCH,absorbed into MASTER_CLASSIFICATION_v3.csv
method_mentions_enrichment.csv,docs/research-archive/2026-08-22-research-snapshot/era1-classification-batches-superseded/method_mentions_enrichment.csv,Method mentions enrichment (pre-classification),Method Mentions — Enrichment Audit (era 1),796,SUPERSEDED,"scratchpad session scratchpad (this session, 2026-08-22)",candidate (intermediate),456f2dc51195a3454bdcac7a619ab0d59c821f2d7686ebda728a7272edb9efb9,MATCH,MATCH,absorbed into METHOD_MENTIONS_CLASSIFIED.csv
MASTER_CLASSIFICATION.csv,docs/research-archive/2026-08-22-research-snapshot/era1-master-classification/MASTER_CLASSIFICATION.csv,Master Classification v1,Corpus DNA — Master Classification (era 1),15433,SUPERSEDED,"scratchpad session scratchpad (this session, 2026-08-22)",candidate,7b5093dce7ab3afea0a8e6c7995c3937e4a8fee2fcd8cf529a0f448b62c72a3f,MATCH,MATCH,superseded by v3
MASTER_CLASSIFICATION_v2.csv,docs/research-archive/2026-08-22-research-snapshot/era1-master-classification/MASTER_CLASSIFICATION_v2.csv,Master Classification v2,Corpus DNA — Master Classification (era 1),15433,SUPERSEDED,"scratchpad session scratchpad (this session, 2026-08-22)",candidate,5115dd62defcbe9355085f1fc7e544b1c7b8ab0136da60e731bcb175d5d737dd,MATCH,MATCH,superseded by v3
MASTER_CLASSIFICATION_v3.csv,docs/research-archive/2026-08-22-research-snapshot/era1-master-classification/MASTER_CLASSIFICATION_v3.csv,"Master Classification v3 (FINAL — 15,433 rows, ZERO live-DB footprint)",Corpus DNA — Master Classification FINAL (era 1),15433,SCRATCHPAD_ONLY,"scratchpad session scratchpad (this session, 2026-08-22)","candidate (extensive, unreviewed)",efa8a93aa3b0c63add799338f33be2238db60bc5292634aab1fba5cdbc90757f,MATCH,MATCH,single largest / highest-value artifact of the whole session; explicitly required present+reproducible per Zuriel instruction
HUMAN_GATE_conflicts.csv,docs/research-archive/2026-08-22-research-snapshot/era1-human-gate/HUMAN_GATE_conflicts.csv,Human-Gate conflicts (120),Corpus DNA — Human-Gate (era 1),120,PARTIALLY_PERSISTED,"scratchpad session scratchpad (this session, 2026-08-22)",candidate,d532bde0c5528c9fdf40a4c06bd21e0c430e2b51ced81ff1fa73302080f1032a,MATCH,MATCH,counts/resolution method in work_log; per-conflict detail only here
HUMAN_GATE_ambiguous_enrichment.csv,docs/research-archive/2026-08-22-research-snapshot/era1-human-gate/HUMAN_GATE_ambiguous_enrichment.csv,Human-Gate ambiguous enrichment (62),Corpus DNA — Human-Gate (era 1),62,SCRATCHPAD_ONLY,"scratchpad session scratchpad (this session, 2026-08-22)",candidate,68295ea3393e9e876aca48edb1e9e7ac24b2c976a0b17e9972c27d91ff288185,MATCH,MATCH,cited as methodological precedent in Numeric Language Phase 5
HUMAN_GATE_FINAL.csv,docs/research-archive/2026-08-22-research-snapshot/era1-human-gate/HUMAN_GATE_FINAL.csv,Human-Gate closing summary,Corpus DNA — Closing Sequence (era 1),4,PARTIALLY_PERSISTED,"scratchpad session scratchpad (this session, 2026-08-22)",awaiting Zuriel,8d1ae28d53c8e46e24c5c8d5b65b3cc4e0607e50e926f3dd3a1a851922b6d0f9,MATCH,MATCH,
CORPUS_DNA_GAPS.csv,docs/research-archive/2026-08-22-research-snapshot/era1-human-gate/CORPUS_DNA_GAPS.csv,Corpus DNA gaps,Corpus DNA — Closing Sequence (era 1),10,SCRATCHPAD_ONLY,"scratchpad session scratchpad (this session, 2026-08-22)",findings,395434e01cf34df05eed457ea3e1a1c33d83de20c5d42c616641cae565576e89,MATCH,MATCH,
METHOD_MENTIONS_CLASSIFIED.csv,docs/research-archive/2026-08-22-research-snapshot/era1-method-mentions/METHOD_MENTIONS_CLASSIFIED.csv,Method mentions classified (797),Method Mentions Phase 2 (era 1) — reused in era 2,796,SCRATCHPAD_ONLY,"scratchpad session scratchpad (this session, 2026-08-22)","candidate (extensive, unreviewed)",a808d7525fb77a0e58b1fbdc55aa1c137cb96e00b6d528e415aa4df349a217bc,MATCH,MATCH,load-bearing: reused as source by Numeric Language Phase 5 + Methods Expansion Phase 1
METHOD_MENTIONS_HUMAN_GATE.csv,docs/research-archive/2026-08-22-research-snapshot/era1-method-mentions/METHOD_MENTIONS_HUMAN_GATE.csv,Method mentions Human-Gate flags (240),Method Mentions Phase 2 (era 1),240,SCRATCHPAD_ONLY,"scratchpad session scratchpad (this session, 2026-08-22)",candidate,f61d810b175a317371d31e5927cc4ded9d071257f31c8ac12c862a4875554fbd,MATCH,MATCH,
