id,phrase,source,resolved_corpus_role,dimensions,decision,evidence_notes,in_method_mentions_type,csv_numword_category,csv_yeartime_category
57eb46a7-924c-4370-8024-a85f0edaab94,השם אחד,excel_import,research_package,lexical_thematic_content,lexical_thematic_content,"""אחד""/""אחת"" כאן = הד תיאולוגי (שמע-ישראל ""ה' אחד""), לא בנייה מספרית — false positive של סורק המספרים-במילים",,ambiguous,
c71df23d-ddca-4122-8ec9-646d6235161c,יהוה שמו אחד,excel_import,research_vocabulary,lexical_thematic_content,lexical_thematic_content,"""אחד""/""אחת"" כאן = הד תיאולוגי (שמע-ישראל ""ה' אחד""), לא בנייה מספרית — false positive של סורק המספרים-במילים",,ambiguous,
d951a472-f2f6-4cac-8a06-9396a9c98d50,יש אלהים אחד,excel_import,research_vocabulary,lexical_thematic_content,lexical_thematic_content,"""אחד""/""אחת"" כאן = הד תיאולוגי (שמע-ישראל ""ה' אחד""), לא בנייה מספרית — false positive של סורק המספרים-במילים",,ambiguous,
0992632b-ede4-4acb-8020-106acc58b080,1335 1290 התגלותי כמלך המשיח האמיתי - לפי אחת,excel_import,personal_or_restricted,numeric_instruction_suffix,numeric_instruction_suffix,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה",,ambiguous,
0c79ed05-dadc-49e7-bd17-00a641f330c7,11111 דרגת היחידה לצמח דוד - לפי אחד,excel_import,archival_raw,numeric_instruction_suffix,numeric_instruction_suffix,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה",,ambiguous,
15154a3e-4f93-4245-877c-af9741d0d62c,המלך 1335- גדול ואותיות -לפי אחד,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-multi_method_instruction",multi_method_instruction,ambiguous,
1b294489-395b-4b7b-ab22-005a05a50f29,הוא יעלה לדרגת מלך המשיח 11111 - לפי אחת,excel_import,archival_raw,numeric_instruction_suffix,numeric_instruction_suffix,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה",,ambiguous,
1bf524b9-cb59-47cf-8c22-e83fb1f288d5,שמע ישראל י ה ו ה אלוהינו י ה ו ה אחד + כולל,excel_import,thematic_corpus,lexical_thematic_content,lexical_thematic_content,"""אחד""/""אחת"" כאן = הד תיאולוגי (שמע-ישראל ""ה' אחד""), לא בנייה מספרית — false positive של סורק המספרים-במילים",,ambiguous,
1eb79907-ce2f-48d2-8246-4d96f450c3b1,לי דרגת 11111 - משולש -לפי אחד,excel_import,personal_or_restricted,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-multi_method_instruction",multi_method_instruction,ambiguous,
228d9b06-5b9e-41af-8986-4bb356f4d0dc,1335 1290 התגלותי כמשיחך - לפני לפי אחד,excel_import,personal_or_restricted,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-lexical_use",lexical_use,ambiguous,
22de9d9b-d133-4cd1-9acb-ac2ef593eeef,396 גואל האחרון ב2015- לפי אחת,excel_import,thematic_corpus,numeric_instruction_suffix|year_time_expression,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש)",,ambiguous,year_in_phrase
23b8fc35-e79a-4f3e-b8d4-c611b1e66365,363 צומח בכי ליהוה המלוכה -מילוי- לפי שלוש,excel_import,thematic_corpus,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-research_instruction",research_instruction,ambiguous,
2dc04292-8635-45dc-afc4-b6436277d153,דרגת היחידה דרגת הנבואה 11111 - לפי אחת,excel_import,archival_raw,numeric_instruction_suffix,numeric_instruction_suffix,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה",,ambiguous,
2de7b823-d34a-4c67-a991-e93d49ee66f1,סוד המשיח 1820 - מסתתר גדול -לפי אחת,excel_import,thematic_corpus,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-multi_method_instruction",multi_method_instruction,ambiguous,
315c8cb4-291b-4e54-b3dc-eb914fcc9c02,1335 1290 עד עת קץ סוד התגלותי - לפני - לפי אחד,excel_import,personal_or_restricted,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-lexical_use",lexical_use,ambiguous,
32e094e8-0a39-4551-ba07-3c86ab9765ae,המשיח יעשה שלום עולמי ב2016- מיקום-לפי אחד,excel_import,thematic_corpus,numeric_instruction_suffix|year_time_expression,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש)",,ambiguous,year_in_phrase
33be710c-20ef-418f-b2bf-a23453b94303,יהוה בעת ההיא,excel_import,thematic_corpus,,genuinely_unresolved,,,,ambiguous
37673a79-096a-4b5b-bca6-e09f823a499f,השכינה הקדשה תשרה על צמח דוד ב22 12 - לפי אחד,excel_import,archival_raw,numeric_instruction_suffix|year_time_expression,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש)",,ambiguous,
43a3d1e3-9441-474f-a4f1-8e32f8ae1aa5,נשמתי תעלה 11111- סת - לפי אחד,excel_import,personal_or_restricted,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-candidate_method",candidate_method,ambiguous,
43bb7299-ccf8-4b34-800b-c7a1ad5d43c9,רצון יהוה את 396 - מסתתר -לפי שלוש,excel_import,thematic_corpus,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-multi_method_instruction",multi_method_instruction,ambiguous,
49f73479-d426-476a-a102-f0c8eb30958b,1335 1290 סוד גאלת ישראל - לפי אחד,excel_import,archival_raw,numeric_instruction_suffix,numeric_instruction_suffix,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה",,ambiguous,
4da1ccef-8ba5-45d1-98f1-f1e538569dda,מי צמח דוד ב781 -רגיל ומשולש לפי אחת,excel_import,research_vocabulary,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-multi_method_instruction",multi_method_instruction,ambiguous,
588a09eb-7ff5-41e9-a317-d69839151a42,1118 כי ליהוה המלוכה - אטבח 1118 - (לפי אחד) - לפי אחת 1820,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-method_result_claim",method_result_claim,ambiguous,
5a273c6a-984e-4519-b096-932bf4c4b649,11111 דרגת מלך-לפי אחת,excel_import,archival_raw,numeric_instruction_suffix,numeric_instruction_suffix,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה",,ambiguous,
5d797b92-41b8-47da-8aad-6903b280322c,1335- מילוי ללא -לפי אחד,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-research_instruction",research_instruction,ambiguous,
6a764e42-b9dd-49b0-be8c-f31d0231593b,1335 1290 סוד מיכאל בספר דניאל - לפני -לפי אחת,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-lexical_use",lexical_use,ambiguous,
6ed72f96-ba89-4e05-b131-04c698683071,לא יקבלו אותי כמשיח ב2015-לפי אחד,excel_import,thematic_corpus,numeric_instruction_suffix|year_time_expression,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש)",,ambiguous,year_in_phrase
6f4ec955-f04e-4e2a-9019-de4c9d6da71c,משיח 337 533 396 מסתתר לפי שלש,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-multi_method_instruction",multi_method_instruction,ambiguous,
703f64be-a13b-4813-ab54-ae4f029b63ec,נשמת מלך המשיח תנוח עלי ב22 12 - אחרי -לפי אחד,excel_import,personal_or_restricted,numeric_instruction_suffix|year_time_expression|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש) ; מופיע גם ב-Method Mentions כ-lexical_use",lexical_use,ambiguous,
730dc473-9c0d-4b04-9d06-62ee9fd5aabf,1335 1290 התגלותי כמשיחך - מסתתר -לפי אחת,excel_import,personal_or_restricted,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-research_instruction",research_instruction,ambiguous,
793af667-2aaf-42d8-82cd-f5d1bd98cbeb,קונספירציות מרחיקות 1776 255 5550 1948 474,excel_import,numeric_word_construct,year_time_expression|numeric_word_construct,multiple_valid_dimensions,"מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש) ; כבר סווג ב-Master כ-numeric_word_construct (רשימת/רצף מספרים אמיתי)",,,ambiguous
798c344e-69fc-401c-bb08-930d888ce592,הכתרת יהוה למלך העולם ב2015- מיקום -לפי אחד,excel_import,thematic_corpus,numeric_instruction_suffix|year_time_expression,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש)",,ambiguous,year_in_phrase
