id,phrase,source,verified,connectivity,structured_corpus_role,classification_reason
18695d89-199b-4f52-ab97-83372ad76acb,במילוי שלו,wa-120363409557,False,none,research_vocabulary,"contains explicit gematria-research vocabulary (גימטריא/פסוק/מילוי/אתבש/etc) -- legitimate research fragment, unverified"
202b412c-99f4-4e91-8ec5-4fba5a59d130,היום שמעתי,wa-120363409557,True,bidim,research_package,verified=True + connectivity=bidim (the 90-row confirmed/cross-linked cluster)
248554b4-020b-4530-aa33-f0dff5ff086c,ב ה,wa-120363409557,False,none,conversational_noise,"short fragment (2 word(s)), no gematria-research vocabulary -- WhatsApp chat filler/interjection"
2fdefa78-29a9-4b2d-b3ef-d03fcf5fa7de,יהסוץ,wa-120363409557,False,none,conversational_noise,"short fragment (1 word(s)), no gematria-research vocabulary -- WhatsApp chat filler/interjection"
5206af5d-bc94-4fab-bc6d-3c9f462ba035,צביקה,wa-120363409557,False,none,conversational_noise,"short fragment (1 word(s)), no gematria-research vocabulary -- WhatsApp chat filler/interjection"
7fb91ad9-3237-49bd-8d1f-cd503641fe05,פתח שער,wa-120363409557,False,none,conversational_noise,"short fragment (2 word(s)), no gematria-research vocabulary -- WhatsApp chat filler/interjection"
012a8715-a01b-4a21-bc20-f37810ee3e91,וגם שמעון ועוד ג,wa-deep,False,none,archival_raw,"ordinary WhatsApp conversation fragment, not corrupted, no gematria-method vocabulary, not verified -- kept as raw archival record, NOT assumed garbage"
17c9f71a-fe0f-4276-998b-18b785187e4d,סוד הגאולה כאן,wa-deep,True,bidim,research_package,verified=True + connectivity=bidim (the 90-row confirmed/cross-linked cluster)
1a5c18cc-0d50-42f5-b050-515b82863acf,מחר זה י ט תמוז,wa-deep,False,none,archival_raw,"ordinary WhatsApp conversation fragment, not corrupted, no gematria-method vocabulary, not verified -- kept as raw archival record, NOT assumed garbage"
2033e87b-0075-4072-a8ae-7d43f97083d1,ב ה אברהם,wa-deep,False,none,archival_raw,"ordinary WhatsApp conversation fragment, not corrupted, no gematria-method vocabulary, not verified -- kept as raw archival record, NOT assumed garbage"
23ea90df-84b8-49c1-b184-92051ea1eb0d,הרב עמוס גואטה נדקר,wa-deep,False,none,human_review,PII/violence/named-real-person marker detected in phrase text
2a29042e-1ccd-4c61-a76a-b25a1c7cf7d9,כן זה מופיע בסרטון הזה שעשיתי לפני עשור,wa-deep,False,none,archival_raw,"ordinary WhatsApp conversation fragment, not corrupted, no gematria-method vocabulary, not verified -- kept as raw archival record, NOT assumed garbage"
30ce1888-8ef2-420f-85b0-602c4f012ab0,הארת פנים חלק ד מביא ששה חלקי פסוקים שהגימטריא שלהם,wa-deep,False,none,research_vocabulary,"contains explicit gematria-research vocabulary (גימטריא/פסוק/מילוי/אתבש/etc) -- legitimate research fragment, unverified"
350abea6-68f1-40bb-958b-0201a21787f1,אתב ש שמעון,wa-deep,False,none,research_vocabulary,"contains explicit gematria-research vocabulary (גימטריא/פסוק/מילוי/אתבש/etc) -- legitimate research fragment, unverified"
3b75c999-d39b-4fdf-b87c-aa0e5fe89a80,משה באתב ש זה צבי,wa-deep,False,none,research_vocabulary,"contains explicit gematria-research vocabulary (גימטריא/פסוק/מילוי/אתבש/etc) -- legitimate research fragment, unverified"
3c171e77-15fe-4338-8d77-84d537eac41d,צביקה בגימטריא גור אריה יהודה,wa-deep,False,none,research_vocabulary,"contains explicit gematria-research vocabulary (גימטריא/פסוק/מילוי/אתבש/etc) -- legitimate research fragment, unverified"
50698932-dc27-4fc6-9591-0c63e0f6fc4f,רצח הרב המקובל עמוס גואטה,wa-deep,False,none,human_review,PII/violence/named-real-person marker detected in phrase text
519d0470-0e33-4fa6-9cac-0d45cc8d5fd5,גם צביקה גימטריא אינסוף,wa-deep,False,none,research_vocabulary,"contains explicit gematria-research vocabulary (גימטריא/פסוק/מילוי/אתבש/etc) -- legitimate research fragment, unverified"
5a4f7a79-18a2-4958-8aa3-e318ea3eea89,אכן צריך רחמי שמים רחמנא,wa-deep,False,none,archival_raw,"ordinary WhatsApp conversation fragment, not corrupted, no gematria-method vocabulary, not verified -- kept as raw archival record, NOT assumed garbage"
5c345c85-611d-46b9-b71d-d509873ae6b5,צבי בגימטריה של מכפלה,wa-deep,False,none,research_vocabulary,"contains explicit gematria-research vocabulary (גימטריא/פסוק/מילוי/אתבש/etc) -- legitimate research fragment, unverified"
6c6b5b6a-b242-43cc-b92b-6a79deda5d6d,ירד מפה,wa-deep,False,none,conversational_noise,"short fragment (2 word(s)), no gematria-research vocabulary -- WhatsApp chat filler/interjection"
7bc53210-9e4c-4891-af11-3625298bce6a,תן לי גימטריות על שמי צבי,wa-deep,False,none,research_vocabulary,"contains explicit gematria-research vocabulary (גימטריא/פסוק/מילוי/אתבש/etc) -- legitimate research fragment, unverified"
7eba2073-849f-4544-9e9f-9fd23ee5fb84,פזטיב,wa-deep,False,aliases,conversational_noise,"short fragment (1 word(s)), no gematria-research vocabulary -- WhatsApp chat filler/interjection"
825a305c-40e0-4c59-a17a-6e9228a99876,ערכי אותיות סופיות ך,wa-deep,False,none,archival_raw,"ordinary WhatsApp conversation fragment, not corrupted, no gematria-method vocabulary, not verified -- kept as raw archival record, NOT assumed garbage"
87a7c1bc-98c0-4314-ba4e-b1b38f20ab47,רבי עמוס גואטה נרצח בדקירה עם סכין,wa-deep,False,none,human_review,PII/violence/named-real-person marker detected in phrase text
8f41eb5a-a2d8-42d4-aa32-29f9a369bc25,צבי גימטריא טוב,wa-deep,False,none,research_vocabulary,"contains explicit gematria-research vocabulary (גימטריא/פסוק/מילוי/אתבש/etc) -- legitimate research fragment, unverified"
92f54407-a350-483e-af5b-a98bd035a1f3,חיובי,wa-deep,False,none,conversational_noise,"short fragment (1 word(s)), no gematria-research vocabulary -- WhatsApp chat filler/interjection"
b7588371-9900-4d83-92d3-2de0884716ab,פתח אליהו הנביא זכור לטוב ואמר,wa-deep,False,none,archival_raw,"ordinary WhatsApp conversation fragment, not corrupted, no gematria-method vocabulary, not verified -- kept as raw archival record, NOT assumed garbage"
c73d47b6-2cbe-4794-b616-e177e38ff116,פרידה,wa-deep,False,none,conversational_noise,"short fragment (1 word(s)), no gematria-research vocabulary -- WhatsApp chat filler/interjection"
d4b9e71b-90c4-4523-86be-357edec00187,מפריד ים,wa-deep,False,none,conversational_noise,"short fragment (2 word(s)), no gematria-research vocabulary -- WhatsApp chat filler/interjection"
d823d96a-567b-4a3f-b645-9c74141d0897,עבודה זרה והגיהנם גימטרית המילוי של גיהנם היא גימל יוד הה נון מם,wa-deep,False,none,research_vocabulary,"contains explicit gematria-research vocabulary (גימטריא/פסוק/מילוי/אתבש/etc) -- legitimate research fragment, unverified"
eb14cf0f-5d0d-44a3-9906-98de0e8b43d8,דרים,wa-deep,False,aliases,conversational_noise,"short fragment (1 word(s)), no gematria-research vocabulary -- WhatsApp chat filler/interjection"
ee464356-eb3a-4f05-a269-cc5566e6e5ee,ענוים ענוים ענוים ענוים הגיע זמן גאולתכם ענוים ענוים,wa-deep,False,none,archival_raw,"ordinary WhatsApp conversation fragment, not corrupted, no gematria-method vocabulary, not verified -- kept as raw archival record, NOT assumed garbage"
f7820bff-0846-475b-a185-9cac69e4b695,צבי יקר שלי רואים את הטוב שבצירופים גיהנם,wa-deep,False,none,archival_raw,"ordinary WhatsApp conversation fragment, not corrupted, no gematria-method vocabulary, not verified -- kept as raw archival record, NOT assumed garbage"
0afc9a6d-4716-4509-9f97-6db861c62d2e,השמדת איראן,wa-gilui-yomi,True,bidim,research_package,verified=True + connectivity=bidim (the 90-row confirmed/cross-linked cluster)
1beb66ea-2725-43cb-aa2f-6e6df0cb6c99,הפסקת האש הזמנית עם איראן,wa-gilui-yomi,True,bidim,research_package,verified=True + connectivity=bidim (the 90-row confirmed/cross-linked cluster)
348a84a5-f04b-489f-b548-992506f9110c,מלחמת איראן השלישית,wa-gilui-yomi,True,bidim,research_package,verified=True + connectivity=bidim (the 90-row confirmed/cross-linked cluster)
