id,phrase,source,ragil,is_verified,visibility_tier,dna_status,category,node_id_type,corpus_role,rule_applied,confidence,cluster_id
"920fac99-3220-4f11-b394-679be765ad9a","הגיון אלוהי","sod1820","126","true","1","dna","מנוקה אוטומטית","","public_core","default:verified+Tier1+dna, standalone value-phrase (מנוקה אוטומטית / thematic category)","high",""
"ff95d169-04f5-4afb-82de-25ffad4426b3","ענווה","entity_seed_v1","137","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:מידות ומושגים"
"c075553c-2151-4d2f-935c-66ab72172a6d","ישעיהו","entity_seed_v1","401","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:שבטים ונביאים"
"157a7160-50dd-4cbb-8fbc-9c3bad11a936","טבריה","entity_seed_v1","226","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:ארץ ועם"
"cc41ee33-421d-4457-b43c-de3cf12a4a5d","נפלתי קמתי","sod1820","1120","true","1","dna","מנוקה אוטומטית","","public_core","default:verified+Tier1+dna, standalone value-phrase (מנוקה אוטומטית / thematic category)","high",""
"8243e418-f4f8-4643-a685-69e6e1b73968","חיבור זמני","sod1820","333","true","1","dna","מנוקה אוטומטית","","public_core","default:verified+Tier1+dna, standalone value-phrase (מנוקה אוטומטית / thematic category)","high",""
"581adbe5-b925-4e49-ab2d-aca2080caa9f","רחל אמנו","entity_expansion_v1","335","true","3","","ישות","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col=generic ישות)","high","world:אבות ואמהות"
"5c6078c9-54a1-4127-98b3-3c2ff75c979f","יוסף הצדיק","entity_seed_v1","365","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:שבטים ונביאים"
"9927597c-398d-4404-bcf1-f3e18fef2158","עולם הבא","entity_seed_v1","154","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:צירופים קדושים"
"f5236d15-8654-4db2-9d5c-178d33c79919","שרה","entity_seed_v1","505","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:אבות ואמהות"
"476deb49-d52c-4237-8a01-37d92b4a243c","קוונטום","entity_seed_v1","217","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:מודרני ומדע"
"72cdf0a0-56d1-46b4-9905-0a6ecc8adee9","בניין בית המקדש","entity_expansion_v1","983","true","3","","ישות","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col=generic ישות)","high","world:גאולה"
"b2d887ea-3ea4-457f-b501-ce07bbaa8800","נביא","entity_seed_v1","63","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:שבטים ונביאים"
"7b5e67c8-2109-4d83-bbdb-de7fe1a636b0","בראתי יצר הרע","sod1820","1188","true","1","dna","מנוקה אוטומטית","","public_core","default:verified+Tier1+dna, standalone value-phrase (מנוקה אוטומטית / thematic category)","high",""
"3f131430-076b-4a5a-94a3-ee3e23cee68b","רבקה אמנו","entity_expansion_v1","404","true","3","","ישות","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col=generic ישות)","high","world:אבות ואמהות"
"c13e56c1-df66-47c9-95f3-ff3f2ef0c116","שרה אמנו","entity_expansion_v1","602","true","3","","ישות","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col=generic ישות)","high","world:אבות ואמהות"
"7e22543a-faae-4837-a74c-a629583b067f","גוג","entity_seed_v1","12","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:אקטואליה ואומות"
"3f9a264b-87d5-4212-92d8-f0efb61f37e8","לג בעומר","entity_expansion_v1","351","true","3","","ישות","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col=generic ישות)","high","world:חגים ומועדים"
"674d438b-34b2-400b-b85c-366bf52a5613","הה","sod1820","10","true","1","dna","מנוקה אוטומטית","","public_core","default:verified+Tier1+dna, standalone value-phrase (מנוקה אוטומטית / thematic category)","high",""
"1a2404bf-d378-48d5-b2ad-d2fc9bddc64d","לאה","entity_seed_v1","36","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:אבות ואמהות"
"add356e2-4ff2-4794-a155-ba4d20e7ea95","שמיני עצרת","entity_expansion_v1","1170","true","3","","ישות","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col=generic ישות)","high","world:חגים ומועדים"
"e276f2c4-3d8d-4df8-a1c0-cdf13c4e0b64","חלל","entity_seed_v1","68","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:מודרני ומדע"
"2338c976-6b10-4d66-84f4-275795a58d39","יום הכיפורים","entity_expansion_v1","427","true","3","","ישות","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col=generic ישות)","high","world:חגים ומועדים"
"17b69e63-bc61-4b6f-9152-8f534b6a1ab1","רבקה","entity_seed_v1","307","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:אבות ואמהות"
"101e37df-376c-4a8a-a3e3-6afe6520e723","צפת","entity_seed_v1","570","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:ארץ ועם"
"d4bc3ef2-a7fa-4eb4-a9a7-5b1cb9b18fb7","איראן","entity_seed_v1","262","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:אקטואליה ואומות"
"443a82be-51e2-4024-a1ae-da3d039afa2b","בריפ","sod1820","292","true","1","dna","מנוקה אוטומטית","","public_core","default:verified+Tier1+dna, standalone value-phrase (מנוקה אוטומטית / thematic category)","high",""
"bf0f933d-0b47-4ae3-92cc-285db54017ae","בימים ההם תושע יהודה","sod1820","958","true","1","dna","מנוקה אוטומטית","","public_core","default:verified+Tier1+dna, standalone value-phrase (מנוקה אוטומטית / thematic category)","high",""
"a9c84184-0122-4b80-a45c-f784a73e199a","כוח אינסופי","sod1820","251","true","1","dna","מנוקה אוטומטית","","public_core","default:verified+Tier1+dna, standalone value-phrase (מנוקה אוטומטית / thematic category)","high",""
"df8f79c6-51a3-42f5-98c6-2ee950a03c5a","שכל נעלם","sod1820","540","true","1","dna","מנוקה אוטומטית","","public_core","default:verified+Tier1+dna, standalone value-phrase (מנוקה אוטומטית / thematic category)","high",""
"da42cfbb-c380-4c5c-a2d3-1b741292b963","נעים בגאולה","sod1820","217","true","1","dna","מנוקה אוטומטית","","public_core","default:verified+Tier1+dna, standalone value-phrase (מנוקה אוטומטית / thematic category)","high",""
"c4434563-671e-4a48-8939-b960b85797ed","ספירת העומר","entity_expansion_v1","1071","true","3","","ישות","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col=generic ישות)","high","world:חגים ומועדים"
"2924aea3-1d91-4bdd-8d65-71d9e111f737","לוי","entity_seed_v1","46","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:שבטים ונביאים"
"56f9e710-fabf-406f-bd80-3d7cbfb4507c","בתקול","sod1820","538","true","1","dna","מנוקה אוטומטית","","public_core","default:verified+Tier1+dna, standalone value-phrase (מנוקה אוטומטית / thematic category)","high",""
"5df84fe5-e1c9-4e32-a3fc-f1ac36098875","משיח יבא","sod1820","371","true","1","dna","מנוקה אוטומטית","","public_core","default:verified+Tier1+dna, standalone value-phrase (מנוקה אוטומטית / thematic category)","high",""
"edfd4c6f-8c81-4b47-b687-6d746c99040f","סיון","entity_seed_v1","126","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:חודשי השנה"
"fc9eecf4-b5f9-4d7a-bf52-3b6e6380e2ab","ראש","entity_seed_v1","501","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:גוף האדם"
"7230fc32-3141-4a4d-9318-1f0ac0ac6f31","חמלה","entity_seed_v1","83","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:מידות ומושגים"
"3c379452-66f1-4880-96fa-ff4a4f649375","ביטחון","entity_expansion_v1","85","true","3","","ישות","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col=generic ישות)","high","world:מידות ומושגים"
"210b84f1-aa64-4e45-9303-37f504feef6b","בבל","entity_seed_v1","34","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:אקטואליה ואומות"
"08424005-7cf9-4c63-9eac-64d1097a0e59","דבקות","entity_seed_v1","512","true","3","core","","entity","thematic_corpus","default:100% node-linked entity, nodes.metadata.world populated (category col empty but real theme exists)","high","world:מידות ומושגים"
