id,original_phrase,method_mention,canonical_method_id,instruction_pattern,n_methods_mentioned,multi_method_flag,confidence,engine_validation,needs_human_review,source,resolved_corpus_role,in_numword_audit,in_yeartime_audit,in_ambiguous_enrichment_62
0002e48c-696d-4bf0-aa55-0225650b1f0f,הישועה בימינו 644 - אתבש - 1100 לפני,אתבש+אותיות_לפני OR plain preposition (ambiguous),אתבש,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
004a33ef-58e7-49f4-86f2-9b951fa082f9,הוא הצדיק הנסתר-3962- משולש,קדמי,קדמי,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,research_vocabulary,no,no,no
01625343-f922-4dcf-84b6-a676bfb7dcb3,יהיה אחד * 26 - מסתתר,מסתתר,מסתתר,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,yes,no,no
017f5051-4f19-4408-b190-b75ed24966e0,לא יאמינו למשיח האחרון אחרי,אותיות_אחרי OR plain preposition (ambiguous),(non-canonical-only),context_only_nonNumeric_mention,0,non_canonical_only,medium,not_individually_validated_naive_adjacency_unreliable,no,excel_import,thematic_corpus,no,no,no
0201af93-bb71-4453-99df-738c8bebcb44,הסוף לבנקים ב = 396 רגיל ואותיות,רגיל,רגיל,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
02414171-733c-4f7c-82d1-d48995fb78bd,אמלוך באלפיים שש עשרה-מסתתר =פי 5,מסתתר,מסתתר,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,yes,yes,no
02e2f7b3-a0b2-4467-b395-935d75f643a1,דמשק תיפל בית מקדש 3850 ריבוע,ריבוע,ריבוע,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
03288505-b54e-4f9f-81b3-40bc7c4aca53,אלף עד תיו במילוי גדול,גדול,גדול,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,promoted:raw_docx_v2,thematic_corpus,yes,no,no
03b15a06-8df1-4f04-b278-324316385879,נשמת דויד המשיח האחרון לפני,אותיות_לפני OR plain preposition (ambiguous),(non-canonical-only),context_only_nonNumeric_mention,0,non_canonical_only,medium,not_individually_validated_naive_adjacency_unreliable,no,excel_import,thematic_corpus,no,no,no
03bc233b-def3-48ee-abbf-59a093573a43,הסוף לסוחרי העבדים ב =1692 ריבוע רגיל,רגיל|ריבוע,רגיל|ריבוע,A_metadata_instruction,2,C_multi_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
03d6a104-c442-4898-b6d4-01ec6cd87354,סוד 533 337 - פי 5 - מסתתר 14370 - לפני 11180 - ריבוע 33070,מסתתר|ריבוע+אותיות_לפני OR plain preposition (ambiguous),מסתתר|ריבוע,A_metadata_instruction,2,C_multi_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
03dc422d-0273-4b81-8ecf-9e991401d45c,יהוה הוה וה ה הכפלה,הכפלה,הכפלה,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,excel_import,thematic_corpus,no,no,no
03e607cb-f37b-45e2-a9fa-e68c37c4440f,סוד יהוה 1820 סופי תיבות (אחת) 1337 לפני,אותיות_לפני OR plain preposition (ambiguous),(non-canonical-only),A_metadata_instruction,0,non_canonical_only,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,archival_raw,yes,no,no
05cf1e44-a9e7-48f4-ae4a-b192d56c31df,ביאתי לציון מילוי ללא,מילוי,מילוי,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,excel_import,research_vocabulary,no,no,no
06123052-6a8e-48ed-bdfe-5793a3104092,מילוי 7790\ כִּי הִנֵּה הַמְּלָכִים נוֹעֲדוּ עָבְרוּ יַחְדָּו,מילוי,מילוי,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,thematic_corpus,no,no,no
0798945c-59ef-486a-a8d6-9109cb60e9aa,משבר מניות עולמי = ריבוע,ריבוע,ריבוע,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,excel_import,thematic_corpus,no,no,no
07e79df5-dd2b-4139-886a-da9dbfe4de73,המלך ימלך אחרי,אותיות_אחרי OR plain preposition (ambiguous),(non-canonical-only),context_only_nonNumeric_mention,0,non_canonical_only,medium,not_individually_validated_naive_adjacency_unreliable,no,excel_import,research_vocabulary,no,no,no
07f3f6ab-dc74-45dd-9de5-443e992c6cb3,אימתי (רגיל ו ∆ ),רגיל,רגיל,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,excel_import,thematic_corpus,no,no,no
081ba72b-39e1-49df-8bd4-0a58bbe7e9d7,644 363 533 1820 781 אתבש,אתבש,אתבש,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
082666cb-6d22-4e9d-bc60-ad0ab0cf35a0,סוד הגדול בעולם- 533 אלבם,אלבם,אלבם,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,research_vocabulary,no,no,no
08b05a76-25de-47a3-b89f-614d2198737c,"וְקָרָאת אֶתְכֶם הָרָעָה,בזמן הזה -רגיל ומסתתר -1820- מילוי ללא- 1118-אלבם",אלבם|מילוי|רגיל,אלבם|מילוי|רגיל,A_metadata_instruction,3,C_multi_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,thematic_corpus,no,no,no
0954e5f1-14ee-4acd-afa2-7041667d5872,בעת ההיא . יהוה יקבץ את עם ישראל משולש,קדמי,קדמי,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,excel_import,thematic_corpus,no,no,no
09817eed-2a59-4a6d-8e06-01b23e1c2132,המשיח בעוד 29 יום -לפני -3630-רגיל ומסתתר -=פי 5,רגיל+אותיות_לפני OR plain preposition (ambiguous),רגיל,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,thematic_corpus,no,no,no
0a3f754f-cce7-4ad8-8682-cdfa4c4e5532,שופר גדול - קץ גלות,גדול,גדול,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,excel_import,thematic_corpus,no,no,no
0a45eeb1-86d0-4d88-87cf-af08d9bc4129,הוא עבד יהוה הנאמן בעתה לפני,אותיות_לפני OR plain preposition (ambiguous),(non-canonical-only),context_only_nonNumeric_mention,0,non_canonical_only,medium,not_individually_validated_naive_adjacency_unreliable,no,excel_import,thematic_corpus,no,no,no
0a7a18b1-758a-4d7b-abdd-bd7a739d8b24,התגלות הגואל מילוי,מילוי,מילוי,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,excel_import,thematic_corpus,no,no,no
0b7fd319-4a77-4060-beeb-0a4888d7d157,סוף לאבטלה בימינו = 363 מסתתר רגיל,מסתתר|רגיל,מסתתר|רגיל,A_metadata_instruction,2,C_multi_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
0c9d67eb-65ad-4719-8bc1-28620a4a3690,בחרת בי אחרי,אותיות_אחרי OR plain preposition (ambiguous),(non-canonical-only),context_only_nonNumeric_mention,0,non_canonical_only,medium,not_individually_validated_naive_adjacency_unreliable,no,sod1820,public_core,no,no,no
0cae3991-079c-4c2b-be4d-b9a35ddd784b,אָנֹכִי אָנֹכִי הוּא מְנַחֶמְכֶם = 1430 משולש,קדמי,קדמי,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,thematic_corpus,no,no,no
0cde87bf-ad23-4541-89de-9397bf7b82db,המלכת משיח בן דוד ב 2212 -לפני =פי 5,אותיות_לפני OR plain preposition (ambiguous),(non-canonical-only),A_metadata_instruction,0,non_canonical_only,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,thematic_corpus,no,no,no
0dd43e80-6c87-439a-9e89-f2665629216b,אתקע שופר גדול בציון,גדול,גדול,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,excel_import,research_package,no,no,no
0de5b88d-49b9-4feb-8de6-b0f3ae6cae61,סוד יהוה 1820 נחשף לדר האחרון אחרי,אותיות_אחרי OR plain preposition (ambiguous),(non-canonical-only),A_metadata_instruction,0,non_canonical_only,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,archival_raw,no,no,no
0e77037c-cdcb-46ed-b86a-9f86dfb2562c,סוד 3960 - מילוי,מילוי,מילוי,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
0e873ae8-3bd2-4a00-a5e4-4db1cb1f9e68,שנת המשיח מילוי,מילוי,מילוי,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,excel_import,thematic_corpus,no,no,no
0f1a1bbc-602c-40ff-9a55-46439a58d589,אדם גדול,גדול,גדול,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,promoted:raw_docx_v2,research_vocabulary,no,no,no
0f25d4a6-9797-4d3e-88a9-88705e660015,התמדה 506 מילוי בלבד,מילוי,מילוי,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
0fcbe92b-f4e9-490a-b88f-eea46813d515,אמחה את זכר עמלק ב 781 מילוי,מילוי,מילוי,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
10022285-5339-4536-a951-7f6e4f5d5d8d,אליהו הנביא והמשיח מילוי,מילוי,מילוי,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,excel_import,thematic_corpus,no,no,no
10616358-c80b-4287-b58d-cb58842039fd,דוד המלך מסתתר 2701,מסתתר,מסתתר,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
1083efe8-524e-4849-a50c-81e46b2872b6,396 יגאלנו ב2015 -לפני רזא -386 -מיקום האות - 3750 רגיל,רגיל+אותיות_לפני OR plain preposition (ambiguous),רגיל,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,research_vocabulary,no,yes,no
114625b6-6952-4c0a-8146-9d6293a5991f,מילוי מיכאל,מילוי,מילוי,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,wa-vip,MISSING_STRUCTURED_DATA,no,no,no
115eaf29-92f0-4151-b9c1-bf48e1221d93,אישתי הרוחנית משולש מילה 18200 משולש 69069 19884,קדמי,קדמי,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
12069a1b-7e61-4b41-b988-20e0081d38d2,עד מתי קץ הפלאות (רגיל ו ∆ ישר והפוך),רגיל,רגיל,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,excel_import,thematic_corpus,no,no,no
122736a2-e8d9-40b9-be8b-88f87b51a2fd,רחמים גדולים - רגיל ומילוי - משולש 1518,קדמי|רגיל,קדמי|רגיל,A_metadata_instruction,2,C_multi_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
1238749e-14cf-4454-aa6c-5819100e3a39,אני בראתי 2600 משולש,קדמי,קדמי,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,personal_or_restricted,no,no,no
127eecea-a61b-4b5c-a104-743e9548bd86,396 דויד בן ישי - רגיל ומסתתר - 12020 - ריבוע,רגיל|ריבוע,רגיל|ריבוע,A_metadata_instruction,2,C_multi_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
12de2d7e-66dd-4682-aa79-f21a220915af,עת שער הנון מילוי המילה,מילוי,מילוי,B_or_E_needs_manual_review,1,single_method,low,not_individually_validated_naive_adjacency_unreliable,yes,excel_import,thematic_corpus,no,no,no
12edb52d-1c3d-46cd-977b-f3f9da5d8857,מיהו בן דויד ב 781- מילוי ללא,מילוי,מילוי,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,research_vocabulary,no,no,no
1350f9fd-a225-4a58-8d4b-03ec4b20577b,הסוף לשוק ההון בימינו = 775 רגיל ומילים,רגיל,רגיל,A_metadata_instruction,1,single_method,high,not_individually_validated_naive_adjacency_unreliable,no,excel_import,numeric_word_construct,no,no,no
