phrase,source,ragil,is_verified,visibility_tier,category,created_date,n_words
יהסוץ,wa-120363409557,171,False,3,קבוצת וואטסאפ,2026-07-03,1
צביקה,wa-120363409557,207,False,3,קבוצת וואטסאפ,2026-07-03,1
ב ה,wa-120363409557,7,False,3,קבוצת וואטסאפ,2026-07-03,2
במילוי שלו,wa-120363409557,434,False,3,קבוצת וואטסאפ,2026-07-03,2
וגם מיכאל,wa-120363409557,150,False,3,קבוצת וואטסאפ,2026-07-03,2
זה עשו,wa-120363409557,388,False,3,קבוצת וואטסאפ,2026-07-03,2
פתח שער,wa-120363409557,1058,False,3,קבוצת וואטסאפ,2026-07-03,2
רק צביקה,wa-120363409557,507,False,3,קבוצת וואטסאפ,2026-07-03,2
שלום לכולם,wa-120363409557,502,False,3,קבוצת וואטסאפ,2026-07-03,2
תודה רבה,wa-120363409557,622,False,3,קבוצת וואטסאפ,2026-07-03,2
חיובי,wa-deep,36,False,3,קבוצת וואטסאפ,2026-07-03,1
פרידה,wa-deep,299,False,3,קבוצת וואטסאפ,2026-07-03,1
ירד מפה,wa-deep,339,False,3,קבוצת וואטסאפ,2026-07-03,2
מפריד ים,wa-deep,384,False,3,קבוצת וואטסאפ,2026-07-03,2
אתב ש שמעון,wa-deep,1169,False,3,קבוצת וואטסאפ,2026-07-03,3
ב ה אברהם,wa-deep,255,False,3,קבוצת וואטסאפ,2026-07-03,3
צבי גימטריא טוב,wa-deep,392,False,3,קבוצת וואטסאפ,2026-07-03,3
אתם מדהימים שבוע טוב,wa-deep,985,False,3,קבוצת וואטסאפ,2026-07-04,4
גם צביקה גימטריא אינסוף,wa-deep,730,False,3,קבוצת וואטסאפ,2026-07-03,4
הרב עמוס גואטה נדקר,wa-deep,761,False,3,קבוצת וואטסאפ,2026-07-03,4
וגם שמעון ועוד ג,wa-deep,604,False,3,קבוצת וואטסאפ,2026-07-03,4
ערכי אותיות סופיות ך,wa-deep,1705,False,3,קבוצת וואטסאפ,2026-07-03,4
צבי בגימטריה של מכפלה,wa-deep,886,False,3,קבוצת וואטסאפ,2026-07-03,4
אכן צריך רחמי שמים רחמנא,wa-deep,1338,False,3,קבוצת וואטסאפ,2026-07-03,5
מחר זה י ט תמוז,wa-deep,732,False,3,קבוצת וואטסאפ,2026-07-03,5
משה באתב ש זה צבי,wa-deep,1164,False,3,קבוצת וואטסאפ,2026-07-03,5
צביקה בגימטריא גור אריה יהודה,wa-deep,937,False,3,קבוצת וואטסאפ,2026-07-03,5
רצח הרב המקובל עמוס גואטה,wa-deep,888,False,3,קבוצת וואטסאפ,2026-07-03,5
פתח אליהו הנביא זכור לטוב ואמר,wa-deep,1135,False,3,קבוצת וואטסאפ,2026-07-03,6
תן לי גימטריות על שמי צבי,wa-deep,1720,False,3,קבוצת וואטסאפ,2026-07-03,6
רבי עמוס גואטה נרצח בדקירה עם סכין,wa-deep,1331,False,3,קבוצת וואטסאפ,2026-07-03,7
כן זה מופיע בסרטון הזה שעשיתי לפני עשור,wa-deep,2468,False,3,קבוצת וואטסאפ,2026-07-03,8
צבי יקר שלי רואים את הטוב שבצירופים גיהנם,wa-deep,2278,False,3,קבוצת וואטסאפ,2026-07-03,8
ענוים ענוים ענוים ענוים הגיע זמן גאולתכם ענוים ענוים,wa-deep,1741,False,3,קבוצת וואטסאפ,2026-07-03,9
הארת פנים חלק ד מביא ששה חלקי פסוקים שהגימטריא שלהם,wa-deep,2983,False,3,קבוצת וואטסאפ,2026-07-03,10
נכון יש הרבה צרופים שכולם משלימים זה את זה צבי,wa-deep,2467,False,3,קבוצת וואטסאפ,2026-07-03,10
עבודה זרה והגיהנם גימטרית המילוי של גיהנם היא גימל יוד הה נון מם,wa-deep,1944,False,3,קבוצת וואטסאפ,2026-07-03,13
אלב,wa-vip,33,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
אמ,wa-vip,41,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
אתב,wa-vip,403,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
בגימטריא,wa-vip,275,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
בים,wa-vip,52,False,3,קבוצת וואטסאפ VIP,2026-07-05,1
בפסוק,wa-vip,248,False,3,קבוצת וואטסאפ VIP,2026-07-05,1
הימג,wa-vip,58,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
הקב,wa-vip,107,False,3,קבוצת וואטסאפ VIP,2026-07-04,1
ויבקעו,wa-vip,194,False,3,קבוצת וואטסאפ VIP,2026-07-05,1
חח,wa-vip,16,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
חסרים,wa-vip,318,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
יוד,wa-vip,20,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
יזראל,wa-vip,248,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
ישועת,wa-vip,786,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
כלומר,wa-vip,296,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
ליראיו,wa-vip,257,False,3,קבוצת וואטסאפ VIP,2026-07-05,1
מדינת,wa-vip,504,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
מם,wa-vip,80,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
מסריח,wa-vip,318,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
מפרידה,wa-vip,339,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
נסחף,wa-vip,198,False,3,קבוצת וואטסאפ VIP,2026-07-05,1
סו,wa-vip,66,False,3,קבוצת וואטסאפ VIP,2026-07-05,1
עמוקים,wa-vip,266,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
עקומים,wa-vip,266,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
פתרנים,wa-vip,780,False,3,קבוצת וואטסאפ VIP,2026-07-05,1
שחכבמ,wa-vip,370,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
שין,wa-vip,360,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
תדמין,wa-vip,504,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
תהרגנה,wa-vip,663,False,3,סין רוסיה ואיראן,2026-07-15,1
