id,phrase,source,primary_corpus_role,refined_corpus_role,refined_layer,conflict_type
0e591f60-b761-464e-acb9-2639b68c5152,אני אל השמש 1237 933,excel_import,archival_raw,personal_or_restricted,low_confidence_resolved,primary_vs_refined_semantic
368ae76d-8423-4f6c-8901-15e6a5239f7d,עבור ילדיה,excel_import,research_vocabulary,unknown,low_confidence_resolved,primary_vs_refined_semantic
48c65640-54ad-42a6-9be4-3cd94dce5c5a,כתר שלי 96 960 148,excel_import,archival_raw,personal_or_restricted,low_confidence_resolved,primary_vs_refined_semantic
658c3ae7-d97b-47ce-9502-5a9ada3ec5b9,אני הוא,excel_import,research_package,personal_or_restricted,messianic_cluster,primary_vs_refined_semantic
6ca274ac-de95-46d0-a5ea-023f79bdfd2a,האחד שלי 1317,excel_import,archival_raw,personal_or_restricted,low_confidence_resolved,primary_vs_refined_semantic
7b79d189-200d-49d7-95eb-6190b4faab63,הטבע שלי 449 1643 369,excel_import,archival_raw,personal_or_restricted,low_confidence_resolved,primary_vs_refined_semantic
7cb8dd5b-80aa-472b-9a5c-bcd5e6534894,דרגתי פי 5,excel_import,archival_raw,personal_or_restricted,messianic_cluster,primary_vs_refined_semantic
7d2dc8ad-4bdc-499d-940d-f77b7ff8353e,בחרת בי - אחרי,excel_import,research_vocabulary,personal_or_restricted,low_confidence_resolved,primary_vs_refined_semantic
8fa9e3dd-42a4-4bf5-8869-0838678a4221,דרגת היחידה 11111,excel_import,personal_or_restricted,archival_raw,messianic_cluster,primary_vs_refined_semantic
af2f3d0b-36c2-4aef-8665-65a17e3460ad,לי לב של אבן 1111,excel_import,archival_raw,personal_or_restricted,low_confidence_resolved,primary_vs_refined_semantic
b6fbb027-e20f-4a5b-9960-1cfb0abf2442,הפעלת נשמתי 385 313 17:55,excel_import,archival_raw,personal_or_restricted,low_confidence_resolved,primary_vs_refined_semantic
df1f6b49-f872-4bea-9439-1c5bb0ca2b96,הנצחון שלי 2212 676 2626,excel_import,archival_raw,personal_or_restricted,low_confidence_resolved,primary_vs_refined_semantic
f2f8683c-756b-4935-af80-14d63cf87a27,המלך 1335 1290,excel_import,personal_or_restricted,archival_raw,messianic_cluster,primary_vs_refined_semantic
febbb846-da77-4bf1-83e0-fb2108732f37,אני שקר 360 אלבם,excel_import,archival_raw,personal_or_restricted,low_confidence_resolved,primary_vs_refined_semantic
047e6d76-c4b8-46cf-9ef9-81a127043966,הוא בא קליפורניה ארצות הברית,excel_import,research_vocabulary,personal_or_restricted,low_confidence_resolved,primary_vs_refined_semantic
09e17cb1-47fc-42d6-a244-9d6359fd5172,אני הוא מלך המשיח בזמן הזה,excel_import,thematic_corpus,personal_or_restricted,messianic_cluster,primary_vs_refined_semantic
