id,phrase,source,corpus_role,primary_confidence,display_recommendation,world_theme,research_package_cluster,research_package_availability,research_package_sensitivity,source_claim_rule,method_mention_type,method_claim_status,method_claim_reason,candidate_method_dependency,historical_method_convention,numeric_word_category,numeric_word_value,numeric_instruction_suffix,landmark_target_flag,year_hebrew,year_gregorian,yeartime_category,temporal_expression_flag,normalization_state,duplicate_flag,garbage_broken_flag,ambiguity_unresolved_flag,conflict_detail
00022651-c052-4688-bf70-4d6d9eda6228,אש הגהינם,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
000e29bd-b44b-41f6-bfbf-ac156b861b1a,פטריות,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
0015d935-c1ef-4e51-ab7e-28c29d603f97,להלן,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
00212bba-2985-4c47-9ec7-701f91352717,ברית יסוד,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
00249867-6eed-4171-9744-721ed6262b9b,פת פלטר,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
002caa7e-2443-48e7-936c-95a1624c8ec7,שחי,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
00479e26-52bb-4152-b77b-a96984e3db8f,בית המטבחיים,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
004bc87b-002c-4129-9c5c-2864300fa624,קליפת ערלה,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
004f7f3c-52a4-4438-bfb6-90dc86bd4ccc,נדבה,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
0059a002-fa56-450f-bb94-98fd1ec1512e,הפסד,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
0069bc87-708c-40fe-b699-9c04af79df5b,סתיו,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
0079fa8d-70ce-42a1-97f2-d89d1ccc3115,רבי שמעון בן אלעזר,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_multiword_dictionary_phrase,,,,,,,,,,,,,,true,,,,
007e3dc0-ad5e-45a2-9a08-83cd1e296dac,ויגש,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
008ad7a3-361f-402a-99e9-c22f7ad9b29a,התעצם,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
009073ae-1777-4f2e-8bc9-4ea45aa5bfd2,למנצח,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
00a06fc5-9ed4-4290-beda-95e8d8e26b54,מפל,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
00b44765-2265-4198-8e29-cf0b01d5ef94,שמועה קרובה,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
00ba472e-3161-4a34-aaff-f748360b42cd,משפחה,promoted:raw_docx_v2,research_package,medium,eligible via existing lens (per corpus_role),,,,,vip_attributed_wordlist,,,,,,,,,,,,,,true,,,,
00d45db3-51ba-48e4-ae32-1450ab614076,תכנית,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
00de9bf5-f695-4650-9f81-ac773fd931eb,דרכי רבים,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
00f72f58-9a70-4840-a598-d68d86dc9a5e,יסוד המלכות,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
00f85298-5557-4e31-83b9-0b19785f55c8,שמועות,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
01004c82-fe7d-4c74-8f94-5954bf4f2b6d,מכה בפטיש,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
0101b6af-b576-45cf-9eb9-7930d1bd10de,לחש,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
01065e5e-66ab-4b55-b3d4-5a88433117ce,אגן,promoted:raw_docx_v2,research_vocabulary,high,eligible via existing lens (per corpus_role),,,,,short_dictionary_entry,,,,,,,,,,,,,,true,,,,
