phrase,source,researcher,verified,corpus_role,target_value,package_cluster,availability_state,confidence,reason_rule,sensitivity,notes_provenance
(ב)אור משיח בן יוסף יזרח,excel_import,,False,research_vocabulary,2368,none,deep_research,MEDIUM,unverified_with_notes,normal,גדול
(חמור בן מאה גוונים משיח בן דוד)=891!,excel_import,,False,research_vocabulary,,none,deep_research,LOW,unverified_bare,normal,(חמור בן מאה גוונים משיח בן דוד)=891!
11111 דרגת היחידה- לפי אחת,excel_import,,False,research_vocabulary,2701,none,deep_research,MEDIUM,unverified_with_notes,normal,11111 דרגת היחידה - לפי אחת
11111 דרגת מלך-לפי אחת,excel_import,,False,research_vocabulary,2015,none,deep_research,MEDIUM,unverified_with_notes,normal,11111 דרגת מלך - לפי אחת
11111 דרגת משיח -- אטבח -66 אטבח לפי אחת,excel_import,,False,research_vocabulary,26600,none,deep_research,MEDIUM,unverified_with_notes,normal,11111 דרגת משיח - אטבח - 66 אטבח לפי אחת
1118 ביאת המשיח בעתה - מסתתר,excel_import,,False,research_vocabulary,2212,none,deep_research,LOW,unverified_bare,normal,1118 ביאת המשיח בעתה - מסתתר
1118 כי ליהוה המלוכה המשיח -ראשי תיבות,excel_import,,False,research_vocabulary,363,none,deep_research,MEDIUM,unverified_with_notes,normal,1118 כי ליהוה המלוכה המשיח - ראשי תיבות
1335 1290 22 12 - רת -7810-גדול ומלים -1202- סת,excel_import,,False,research_vocabulary,2212,none,deep_research,MEDIUM,unverified_with_notes,normal,1335 1290 22 12 - רת - 7810 - גדול ומלים - 1202 - סת
1335 1290 סוד מיכאל בספר דניאל - לפני -לפי אחת,excel_import,,False,research_vocabulary,5330,none,deep_research,MEDIUM,unverified_with_notes,normal,1335 1290 סוד מיכאל בספר דניאל - לפני - לפי אחת
1335- מילוי ללא -לפי אחד,excel_import,,False,research_vocabulary,1820,none,deep_research,MEDIUM,unverified_with_notes,normal,1335 - מילוי ללא - לפי אחד
2216 סוד המשיח- סת -4240-רגיל ומסתתר,excel_import,,False,research_vocabulary,396,none,deep_research,MEDIUM,unverified_with_notes,normal,2216 סוד המשיח - סת - 4240 - רגיל ומסתתר
266 הנבחר למשיח בימינו - אתבש,excel_import,,False,research_vocabulary,1134,none,deep_research,LOW,unverified_bare,normal,266 הנבחר למשיח בימינו - אתבש
266 יהיה גואלנו בשנה הבאה - מסתתר,excel_import,,False,research_vocabulary,1237,none,deep_research,LOW,unverified_bare,normal,266 יהיה גואלנו בשנה הבאה - מסתתר
2660 3370 המשיח האחרון - אחרי,excel_import,,False,research_vocabulary,6440,none,deep_research,LOW,unverified_bare,normal,2660 3370 המשיח האחרון - אחרי
337 עוזר המשיח 266- אתבש,excel_import,,False,research_vocabulary,,none,deep_research,MEDIUM,unverified_with_notes,normal,337 עוזר המשיח 266 - אתבש
363 צומח למשיח בן דויד אמיתי אחרון - מילוי,excel_import,,False,research_vocabulary,7170,none,deep_research,LOW,unverified_bare,normal,363 צומח למשיח בן דויד אמיתי אחרון - מילוי
396 גואל אחרון - אות שניה,excel_import,,False,research_vocabulary,644,none,deep_research,LOW,unverified_bare,normal,396 גואל אחרון - אות שניה
396 גואל האחרון ב2015- לפי אחת,excel_import,,False,research_vocabulary,3960,none,deep_research,MEDIUM,unverified_with_notes,normal,396 גואל האחרון ב2015 - לפי אחת
396 משיח בן דוד בזמן הזה -משולש -14370-מסתתר =פי 5,excel_import,,False,research_vocabulary,78100,none,deep_research,MEDIUM,unverified_with_notes,normal,396 משיח בן דוד בזמן הזה - משולש - 14370 - מסתתר =פי 5
396 שם המשיח -לפני בן איש חי -1717 מסתתר,excel_import,,False,research_vocabulary,2330,none,deep_research,MEDIUM,unverified_with_notes,normal,396 שם המשיח - לפני בן איש חי - 1717 מסתתר
3960 המשיח האמיתי האחרון - מסתתר גדול =- 2440- אטבח,excel_import,,False,research_vocabulary,3500,none,deep_research,MEDIUM,unverified_with_notes,normal,3960 המשיח האמיתי האחרון - מסתתר גדול = - 2440 - אטבח
477 המשיח -מילוי -2480מילוי ללא,excel_import,,False,research_vocabulary,3860,none,deep_research,MEDIUM,unverified_with_notes,normal,477 המשיח - מילוי - 2480מילוי ללא
533 יודע סוד ביאת המשיח - מילוי ללא,excel_import,,False,research_vocabulary,2936,none,deep_research,LOW,unverified_bare,normal,533 יודע סוד ביאת המשיח - מילוי ללא
590 המשיח האחרון -לפני,excel_import,,False,research_vocabulary,1335,none,deep_research,MEDIUM,unverified_with_notes,normal,590 המשיח האחרון - לפני
644 המשיח בעתה -רגיל ריבוע משולש,excel_import,,False,research_vocabulary,14000,none,deep_research,MEDIUM,unverified_with_notes,normal,644 המשיח בעתה - רגיל ריבוע משולש
644 המשיח האחרון - לפני,excel_import,,False,research_vocabulary,1134,none,deep_research,LOW,unverified_bare,normal,644 המשיח האחרון - לפני
644 המשיח האחרון -לפני,excel_import,,False,research_vocabulary,1134,none,deep_research,MEDIUM,unverified_with_notes,normal,644 המשיח האחרון - לפני
644 הנבחר למשיח האחרון - אתבש,excel_import,,False,research_vocabulary,2660,none,deep_research,LOW,unverified_bare,normal,644 הנבחר למשיח האחרון - אתבש
644 משיח בן דוד- לפני,excel_import,,False,research_vocabulary,1820,none,deep_research,MEDIUM,unverified_with_notes,normal,644 משיח בן דוד - לפני
644 משיחי - מדבר רבה 1266,excel_import,,False,research_vocabulary,1514,none,deep_research,LOW,unverified_bare,normal,644 משיחי - מדבר רבה 1266
644 משיחי האחרון האמיתי - מילוי גדול,excel_import,,False,research_vocabulary,22220,none,deep_research,LOW,unverified_bare,normal,644 משיחי האחרון האמיתי - מילוי גדול
644 צומח למשיח יהוה - לפני,excel_import,,False,research_vocabulary,1134,none,deep_research,LOW,unverified_bare,normal,644 צומח למשיח יהוה - לפני
644 צומח למשיח יהוה בזמן הזה,excel_import,,False,research_vocabulary,1820,none,deep_research,LOW,unverified_bare,normal,644 צומח למשיח יהוה בזמן הזה
644 שם המשיח -אות שלישית,excel_import,,False,research_vocabulary,644,none,deep_research,MEDIUM,unverified_with_notes,normal,644 שם המשיח - אות שלישית
717 משיח בן דויד אתבש,excel_import,,False,research_vocabulary,1820,none,deep_research,LOW,unverified_bare,normal,717 משיח בן דויד אתבש
א אב אבר אברה אברהם ה המ המש המשי המשיח,excel_import,,False,research_vocabulary,1776,none,deep_research,LOW,unverified_bare,normal,(none)
אבוא כמשיח האחרון בהיסח הדעת,excel_import,,False,research_vocabulary,1222,none,deep_research,MEDIUM,unverified_with_notes,normal,אתבש - 2180 - מסתתר
אבוא כמשיח יהוה עני ורכב על חמור,excel_import,,False,research_vocabulary,1126,none,deep_research,MEDIUM,unverified_with_notes,normal,מילוי
אבוא כמשיחך השנה,excel_import,,True,thematic_corpus,768,none,public_expanded,MEDIUM,verified_default,normal,לפני - 2660 - לפני - פי 5
אהוי אני משיח אמתי,excel_import,,True,thematic_corpus,892,none,public_expanded,MEDIUM,verified_default,normal,(none)
אהוי התגלות משיח,excel_import,,True,thematic_corpus,1224,none,public_expanded,MEDIUM,verified_default,normal,רגיל ומשולש
אהוי מי המשיח האחרון,excel_import,,True,thematic_corpus,705,none,public_expanded,MEDIUM,verified_default,normal,(none)
אהיה המשיח האחרון,excel_import,,True,thematic_corpus,654,none,public_expanded,MEDIUM,verified_default,normal,מסתתר גדול - 1335 - מדבר רבה
אהיה לחזקת משיח ב 12 22 - פי 5 - ראשי תיבות,excel_import,,False,research_vocabulary,3370,none,deep_research,LOW,unverified_bare,normal,אהיה לחזקת משיח ב 12 22 - פי 5 - ראשי תיבות
אהיה מלך המשיח בזמן הזה,excel_import,,False,research_vocabulary,590,none,deep_research,MEDIUM,unverified_with_notes,normal,2660 - רגיל ומילוי
אהיה משיח אחרון,excel_import,,True,thematic_corpus,644,none,public_expanded,MEDIUM,verified_default,normal,(none)
אהיה משיח בן דויד בעשירי בטבת השנה,excel_import,,False,research_vocabulary,1820,none,deep_research,LOW,unverified_bare,normal,(none)
אהיה משיח יהוה,excel_import,,True,thematic_corpus,405,none,public_expanded,MEDIUM,verified_default,normal,מילוי רגיל
אהיה משיח יהוה האחרון ב2015 -אטבח - 3383 איק בכר,excel_import,,False,research_vocabulary,2015,none,deep_research,MEDIUM,unverified_with_notes,normal,אהיה משיח יהוה האחרון ב2015 - אטבח - 3383 איק בכר
אהיה שלח את המשיח האחרון,excel_import,,False,research_vocabulary,1393,none,deep_research,MEDIUM,unverified_with_notes,normal,מילוי ללא
אובאמה הנחש עמלק נגד יהוה ומשיחו,excel_import,,False,research_vocabulary,1111,none,deep_research,LOW,unverified_bare,normal,(none)
אובמה שרש נחש מלך המשיח ר ת,excel_import,,False,research_vocabulary,2265,none,deep_research,LOW,unverified_bare,normal,(none)
אופיע כמשיח - מסתתר - 800 לפני,excel_import,,False,research_vocabulary,781,none,deep_research,LOW,unverified_bare,normal,אופיע כמשיח - מסתתר - 800 לפני
אופיע כמשיח יהוה האחרון = משולש,excel_import,,False,research_vocabulary,3382,none,deep_research,LOW,unverified_bare,normal,אופיע כמשיח יהוה האחרון = משולש
אופיע כמשיח יהוה האחרון בעתה - אתבש,excel_import,,False,research_vocabulary,2015,none,deep_research,LOW,unverified_bare,normal,אופיע כמשיח יהוה האחרון בעתה - אתבש
אור הגאולה בנוסף ל1237,excel_import,,False,research_vocabulary,257,none,deep_research,LOW,unverified_bare,normal,אור הגאולה בנוסף ל1237
אור מלך המשיח,excel_import,,True,thematic_corpus,660,none,public_expanded,MEDIUM,verified_default,normal,מילוי ללא
אור מלך המשיח מילוי ללא,excel_import,,False,research_vocabulary,817,none,deep_research,LOW,unverified_bare,normal,אור מלך המשיח מילוי ללא
אור מלך המשיח שאול מסתתר 1363 אחרי,excel_import,,False,research_vocabulary,1134,none,deep_research,LOW,unverified_bare,normal,אור מלך המשיח שאול מסתתר 1363 אחרי
אור משיח ויהוה,excel_import,,True,thematic_corpus,597,none,public_expanded,MEDIUM,verified_default,normal,רגיל ומילוי
אורגזמה לשמש מירח בגאולה,excel_import,,True,thematic_corpus,1237,none,public_expanded,MEDIUM,verified_default,normal,בלי בגאולה 1190 1000
אורן עברון יעזור למשיח 3630 מילוי,excel_import,,False,research_vocabulary,1266,none,deep_research,LOW,unverified_bare,normal,אורן עברון יעזור למשיח 3630 מילוי
אותו ייעדת למשיח,excel_import,,True,thematic_corpus,1295,none,public_expanded,MEDIUM,verified_default,normal,אחרי
אותית העברית למשיח,excel_import,,True,thematic_corpus,1892,none,public_expanded,MEDIUM,verified_default,normal,מסתתר
אחדות יהוה בגאולה,excel_import,,True,thematic_corpus,492,none,public_expanded,MEDIUM,verified_default,normal,משולש - + 4142
אחשף כמשיח יהוה,excel_import,,True,thematic_corpus,793,none,public_expanded,MEDIUM,verified_default,normal,מילוי גדול
איך קוראים למשיח,excel_import,,True,thematic_corpus,776,none,public_expanded,MEDIUM,verified_default,normal,(none)
אימפרית המשיח,excel_import,,True,thematic_corpus,1104,none,public_expanded,MEDIUM,verified_default,normal,רגיל
אִישׁ הָאֱלֹהִים משיחך,excel_import,,False,research_vocabulary,780,none,deep_research,LOW,unverified_bare,normal,(none)
אליה יגלה את הגואל בעתה,excel_import,,False,research_vocabulary,1017,none,deep_research,LOW,unverified_bare,normal,(none)
אליהו הנביא גאולה,excel_import,,True,thematic_corpus,165,none,public_expanded,MEDIUM,verified_default,normal,רגיל ומשולש
אליהו הנביא המלאך מיכאל ומלך המשיח,excel_import,,False,research_vocabulary,776,none,deep_research,MEDIUM,unverified_with_notes,normal,מסתתר - 2880
אליהו הנביא והמשיח לדור האחרון,excel_import,,False,research_vocabulary,999,none,deep_research,LOW,unverified_bare,normal,(none)
אליהו הנביא והמשיח מילוי,excel_import,,True,thematic_corpus,585,none,public_expanded,MEDIUM,verified_default,normal,אליהו הנביא והמשיח מילוי
אליהו הנביא ומשיח יהוה האחרון,excel_import,,False,research_vocabulary,780,none,deep_research,MEDIUM,unverified_with_notes,normal,מילוי
אליהו הנביא יגלה את המשיח האחרון,excel_import,,False,research_vocabulary,1202,none,deep_research,LOW,unverified_bare,normal,(none)
אליהו הנביא ימשח אותי למשיח,excel_import,,False,research_vocabulary,1283,none,deep_research,MEDIUM,unverified_with_notes,normal,רגיל ומלים - פי 5
אליהו הנביא ימשח אותי למשיח אחרון,excel_import,,False,research_vocabulary,1548,none,deep_research,MEDIUM,unverified_with_notes,normal,ריבוע
אליהו הנביא ימשח אותי למשיח בימינו,excel_import,,False,research_vocabulary,1401,none,deep_research,MEDIUM,unverified_with_notes,normal,לפני
אליהו והמשיח בזמן הזה,excel_import,,True,thematic_corpus,537,none,public_expanded,MEDIUM,verified_default,normal,לפני הפליאה - 1551 אתבש
אליהו יבשר למשיח ר ישרפוך,excel_import,,False,research_vocabulary,1768,none,deep_research,LOW,unverified_bare,normal,(none)
אליהו יבשר משיח בן יוסף,excel_import,,False,research_vocabulary,1130,none,deep_research,MEDIUM,unverified_with_notes,normal,מסתתר
אליהו יגלה את הגואל 1266 במלוי,excel_import,,False,research_vocabulary,546,none,deep_research,LOW,unverified_bare,normal,אליהו יגלה את הגואל 1266 במלוי
אליהו יגלה את הגואל בעתה,excel_import,,False,research_vocabulary,1023,none,deep_research,LOW,unverified_bare,normal,(none)
אליהו יגלה את הגואל האחרון,excel_import,,False,research_vocabulary,816,none,deep_research,MEDIUM,unverified_with_notes,normal,מילוי רגיל
אליהו יכתיר אותי למלך המשיח,excel_import,,False,research_vocabulary,1592,none,deep_research,MEDIUM,unverified_with_notes,normal,מדבר רבה
אליהו מבשר הגאולה,excel_import,,True,thematic_corpus,644,none,public_expanded,MEDIUM,verified_default,normal,(none)
אליהו משיח בן דויד בדרך,excel_import,,False,research_vocabulary,712,none,deep_research,LOW,unverified_bare,normal,(none)
אליוט קצבמן משיח בן דויד =פי 5,excel_import,,False,research_vocabulary,3860,none,deep_research,LOW,unverified_bare,normal,אליוט קצבמן משיח בן דויד =פי 5
אלף שמונה מאות ועשרים משיח,excel_import,,False,research_vocabulary,1943,none,deep_research,MEDIUM,unverified_with_notes,normal,סופי תיבות
אמשח למלך המשיח בחודש הבא,excel_import,,False,research_vocabulary,1160,none,deep_research,MEDIUM,unverified_with_notes,normal,לפני
אמשח למשיח בחודש הבא,excel_import,,True,thematic_corpus,1065,none,public_expanded,MEDIUM,verified_default,normal,מילוי - 3630 - לפני
אמשח למשיח בעוד שלשים ושבעה יום,excel_import,,False,research_vocabulary,1938,none,deep_research,MEDIUM,unverified_with_notes,normal,מסתתר =פי 5
אמשח למשיח בעת קץ,excel_import,,True,thematic_corpus,1399,none,public_expanded,MEDIUM,verified_default,normal,פי 5 - לפני
אמשח למשיח ישראל האחרון,excel_import,,True,thematic_corpus,1548,none,public_expanded,MEDIUM,verified_default,normal,מסתתר
אנחנו בזמן הגאולה האמיתית השלמה,excel_import,,False,research_vocabulary,1510,none,deep_research,MEDIUM,unverified_with_notes,normal,מילוי
אנחנו בזמן הגאולה השלמה,excel_import,,True,thematic_corpus,644,none,public_expanded,MEDIUM,verified_default,normal,(none)
אנחנו דוהרים לעבר הגאולה,excel_import,,True,thematic_corpus,732,none,public_expanded,MEDIUM,verified_default,normal,2880 משולש
אנחנו דור הגאולה האמיתית האחרונה,excel_import,,False,research_vocabulary,1516,none,deep_research,MEDIUM,unverified_with_notes,normal,משולש
אנחנו דור הגאולה האמיתית האחרונה ∆,excel_import,,False,research_vocabulary,5776,none,deep_research,LOW,unverified_bare,normal,(none)
אנחנו הגואלים,excel_import,,True,thematic_corpus,210,none,public_expanded,MEDIUM,verified_default,normal,מסתתר
אני הגואל האמיתי,excel_import,,True,thematic_corpus,572,none,public_expanded,MEDIUM,verified_default,normal,אתבש
