id,phrase,source,resolved_corpus_role,method_mention_type,method_claim_status,method_claim_reason,historical_method_convention,candidate_method_dependency,method_evidence_confidence,overlap_dimensions
0002e48c-696d-4bf0-aa55-0225650b1f0f,הישועה בימינו 644 - אתבש - 1100 לפני,excel_import,numeric_word_construct,multi_method_instruction,unresolved_mismatch,insufficient_context,,no,low,
004a33ef-58e7-49f4-86f2-9b951fa082f9,הוא הצדיק הנסתר-3962- משולש,excel_import,research_vocabulary,multi_method_instruction,unresolved_mismatch,insufficient_context,,no,low,
01625343-f922-4dcf-84b6-a676bfb7dcb3,יהיה אחד * 26 - מסתתר,excel_import,numeric_word_construct,multi_method_instruction,unresolved_mismatch,method_alias_issue,,no,medium,numeric_word
017f5051-4f19-4408-b190-b75ed24966e0,לא יאמינו למשיח האחרון אחרי,excel_import,thematic_corpus,lexical_use,not_a_method_claim,lexical_use,,no,n/a,messiah_package
0201af93-bb71-4453-99df-738c8bebcb44,הסוף לבנקים ב = 396 רגיל ואותיות,excel_import,numeric_word_construct,method_result_claim,unresolved_mismatch,insufficient_context,,no,low,
02414171-733c-4f7c-82d1-d48995fb78bd,אמלוך באלפיים שש עשרה-מסתתר =פי 5,excel_import,numeric_word_construct,research_instruction,no_claimed_value,research_instruction,,no,n/a,numeric_word|year_time
02e2f7b3-a0b2-4467-b395-935d75f643a1,דמשק תיפל בית מקדש 3850 ריבוע,excel_import,numeric_word_construct,multi_method_instruction,unresolved_mismatch,insufficient_context,,no,low,
03288505-b54e-4f9f-81b3-40bc7c4aca53,אלף עד תיו במילוי גדול,promoted:raw_docx_v2,thematic_corpus,research_instruction,no_claimed_value,research_instruction,,no,n/a,numeric_word
03b15a06-8df1-4f04-b278-324316385879,נשמת דויד המשיח האחרון לפני,excel_import,thematic_corpus,lexical_use,not_a_method_claim,lexical_use,,no,n/a,messiah_package
03bc233b-def3-48ee-abbf-59a093573a43,הסוף לסוחרי העבדים ב =1692 ריבוע רגיל,excel_import,numeric_word_construct,multi_method_instruction,unresolved_mismatch,insufficient_context,,no,low,
03d6a104-c442-4898-b6d4-01ec6cd87354,סוד 533 337 - פי 5 - מסתתר 14370 - לפני 11180 - ריבוע 33070,excel_import,numeric_word_construct,multi_method_instruction,unresolved_mismatch,insufficient_context,,no,low,
03dc422d-0273-4b81-8ecf-9e991401d45c,יהוה הוה וה ה הכפלה,excel_import,thematic_corpus,research_instruction,no_claimed_value,research_instruction,,no,n/a,
03e607cb-f37b-45e2-a9fa-e68c37c4440f,סוד יהוה 1820 סופי תיבות (אחת) 1337 לפני,excel_import,archival_raw,lexical_use,not_a_method_claim,lexical_use,,no,n/a,numeric_word
05cf1e44-a9e7-48f4-ae4a-b192d56c31df,ביאתי לציון מילוי ללא,excel_import,research_vocabulary,research_instruction,no_claimed_value,research_instruction,,no,n/a,
06123052-6a8e-48ed-bdfe-5793a3104092,מילוי 7790\ כִּי הִנֵּה הַמְּלָכִים נוֹעֲדוּ עָבְרוּ יַחְדָּו,excel_import,thematic_corpus,method_result_claim,no_claim_verified,method_result_claim,,no,n/a,
0798945c-59ef-486a-a8d6-9109cb60e9aa,משבר מניות עולמי = ריבוע,excel_import,thematic_corpus,research_instruction,no_claimed_value,research_instruction,,no,n/a,
07e79df5-dd2b-4139-886a-da9dbfe4de73,המלך ימלך אחרי,excel_import,research_vocabulary,lexical_use,not_a_method_claim,lexical_use,,no,n/a,
07f3f6ab-dc74-45dd-9de5-443e992c6cb3,אימתי (רגיל ו ∆ ),excel_import,thematic_corpus,research_instruction,no_claimed_value,research_instruction,,no,n/a,
081ba72b-39e1-49df-8bd4-0a58bbe7e9d7,644 363 533 1820 781 אתבש,excel_import,numeric_word_construct,research_instruction,no_claimed_value,research_instruction,,no,n/a,
082666cb-6d22-4e9d-bc60-ad0ab0cf35a0,סוד הגדול בעולם- 533 אלבם,excel_import,research_vocabulary,multi_method_instruction,no_claim_verified,multi_method_instruction,,no,n/a,
08b05a76-25de-47a3-b89f-614d2198737c,"וְקָרָאת אֶתְכֶם הָרָעָה,בזמן הזה -רגיל ומסתתר -1820- מילוי ללא- 1118-אלבם",excel_import,thematic_corpus,multi_method_instruction,unresolved_mismatch,value_is_target_not_result,,no,medium,
0954e5f1-14ee-4acd-afa2-7041667d5872,בעת ההיא . יהוה יקבץ את עם ישראל משולש,excel_import,thematic_corpus,research_instruction,no_claimed_value,research_instruction,,no,n/a,
