id,original_phrase,source,resolved_corpus_role,method_mention_type,n_distinct_canonical_methods,multi_method_flag,method_mentioned,canonical_method_id,research_expression,claimed_value,instruction_confidence,verification_state,has_engine_verified_mismatch,has_engine_verified_match,candidate_labels,temporal_markers,issue_group
12069a1b-7e61-4b41-b988-20e0081d38d2,עד מתי קץ הפלאות (רגיל ו ∆ ישר והפוך),excel_import,thematic_corpus,candidate_method,1,no,רגיל|ישר והפוך,רגיל|CANDIDATE_RAGIL_YASHAR_HAFUCH,עד מתי קץ הפלאות|ו ∆,|,low|low,not_applicable|not_applicable,no,no,ישר והפוך,,candidate_method_not_in_registry
18207155-aac9-448d-aee6-608314dcfe0b,"אֲנִי אֶהְיֶה-לּוֹ לְאָב, וְהוּא יִהְיֶה-לִּי לְבֵן; לך צמח דוד מכי ליהוה המלוכה -מילוי -רת 337",excel_import,archival_raw,candidate_method,1,no,מילוי|רת,מילוי|CANDIDATE_ROSHEI_TEVOT,"אֲנִי אֶהְיֶה-לּוֹ לְאָב, וְהוּא יִהְיֶה-לִּי לְבֵן; לך צמח דוד מכי ליהוה המלוכה|אֲנִי אֶהְיֶה-לּוֹ לְאָב, וְהוּא יִהְיֶה-לִּי לְבֵן; לך צמח דוד מכי ליהוה המלוכה",|337,low|high,not_applicable|not_applicable,no,no,רת,,candidate_method_not_in_registry
19ecac59-5322-4379-bcb4-8ffaac46e616,ביאת המשיח 2756- סת,excel_import,thematic_corpus,candidate_method,1,no,סת,רגיל,ביאת המשיח,2756,low,engine_verified_mismatch,yes,no,סת,,candidate_method_not_in_registry
28ac61ea-df26-43b1-833d-ba285857715a,צמח דויד 644 - רת,excel_import,numeric_word_construct,candidate_method,1,no,רת,רגיל,צמח דויד,644,low,engine_verified_mismatch,yes,no,רת,,candidate_method_not_in_registry
2dc0d0a9-5cf6-4639-8ac0-e55d42d9f55a,אשרי המחכה למשיח ל1335-רת --פי 5-אחרי גדול 20160,excel_import,thematic_corpus,candidate_method,2,no,רת|גדול,רגיל|גדול,אשרי המחכה למשיח ל|פי 5-אחרי,1335|20160,low|high,engine_verified_mismatch|not_verifiable,yes,no,רת,אחרי,candidate_method_not_in_registry
381331b6-6a40-4acd-8bb4-4cf461360540,שנת ביאת המשיח האחרון 776 - 1212 רת,excel_import,archival_raw,candidate_method,1,no,רת,רגיל,שנת ביאת המשיח האחרון 776,1212,low,engine_verified_mismatch,yes,no,רת,,candidate_method_not_in_registry
43a3d1e3-9441-474f-a4f1-8e32f8ae1aa5,נשמתי תעלה 11111- סת - לפי אחד,excel_import,personal_or_restricted,candidate_method,1,no,סת,רגיל,נשמתי תעלה,11111,low,engine_verified_mismatch,yes,no,סת,,candidate_method_not_in_registry
47ddf011-a35e-4457-b6ab-c50b701916e2,כֹּה אָמַר יְהוָה קְדוֹשׁ יִשְׂרָאֵל וְיֹצְרוֹ הָאֹתִיּוֹת שְׁאָלוּנִי עַל בָּנַי וְעַל פֹּעַל יָדַי תְּצַוֻּנִי תאריך ביאת אליהו הנביא והמשיח -רת -1400-קטן,excel_import,archival_raw,candidate_method,0,no,רת,CANDIDATE_ROSHEI_TEVOT,כֹּה אָמַר יְהוָה קְדוֹשׁ יִשְׂרָאֵל וְיֹצְרוֹ הָאֹתִיּוֹת שְׁאָלוּנִי עַל בָּנַי וְעַל פֹּעַל יָדַי תְּצַוֻּנִי תאריך ביאת אליהו הנביא והמשיח,1400,high,not_applicable,no,no,רת,,candidate_method_not_in_registry
495a2f22-d89a-4962-aaa9-62df99d95b93,צמח דויד רת,sod1820,public_core,candidate_method,0,no,רת,CANDIDATE_ROSHEI_TEVOT,צמח דויד,,low,not_applicable,no,no,רת,,candidate_method_not_in_registry
4abb0de5-ef2d-4189-9438-f7e93a618c98,רוח אלהים מרחפת על פני 717- לפני -5140-סת =פי 5,excel_import,research_vocabulary,candidate_method,1,no,סת,רגיל,רוח אלהים מרחפת על פני 717- לפני,5140,low,engine_verified_mismatch,yes,no,סת,לפני,candidate_method_not_in_registry
