candidate_label,alias_form,source_row_id,source_phrase,claimed_value,reconstructed_algorithm,lifecycle_status,definition_evidence,rows_explained,rows_unexplained,existing_method_collision,composition_candidate,verification_result,confidence,human_gate_required,notes
"ר""ת (רת)",רת,18207155-aac9-448d-aee6-608314dcfe0b,"אֲנִי אֶהְיֶה-לּוֹ לְאָב, וְהוּא יִהְיֶה-לִּי לְבֵן; לך צמח דוד מכי ליהוה המלוכה -מילוי -רת 337",|337,"H1: first Hebrew letter of each word -> acronym ""אאללוילללצדמלה"" -> run through live registry methods",reconstructed_single_example,"anchor cluster: 644 recurs 6x across ""צמח דוד""/""צמח דויד"" spelling variants, spelling-invariant",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",PLAUSIBLE_UNCONFIRMED (1 example fit; not verified per Sec.7 -- a method is not verified from a single hit),medium,yes,H1 MATCHES this row via גדול=337
"ר""ת (רת)",רת,28ac61ea-df26-43b1-833d-ba285857715a,צמח דויד 644 - רת,644,"H1: first Hebrew letter of each word -> acronym ""צד"" -> run through live registry methods",unresolved_historical_method,"anchor cluster: 644 recurs 6x across ""צמח דוד""/""צמח דויד"" spelling variants, spelling-invariant",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,medium,yes,H1 tested and does NOT match this row (anchor cluster)
"ר""ת (רת)",רת,2dc0d0a9-5cf6-4639-8ac0-e55d42d9f55a,אשרי המחכה למשיח ל1335-רת --פי 5-אחרי גדול 20160,1335|20160,"H1: first Hebrew letter of each word -> acronym ""אהלל"" -> run through live registry methods",insufficient_definition,"isolated occurrence, no cross-row anchor",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ר""ת (רת)",רת,381331b6-6a40-4acd-8bb4-4cf461360540,שנת ביאת המשיח האחרון 776 - 1212 רת,1212,"H1: first Hebrew letter of each word -> acronym ""שבהה"" -> run through live registry methods",insufficient_definition,"isolated occurrence, no cross-row anchor",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ר""ת (רת)",רת,47ddf011-a35e-4457-b6ab-c50b701916e2,כֹּה אָמַר יְהוָה קְדוֹשׁ יִשְׂרָאֵל וְיֹצְרוֹ הָאֹתִיּוֹת שְׁאָלוּנִי עַל בָּנַי וְעַל פֹּעַל יָדַי תְּצַוֻּנִי תאריך ביאת אליהו הנביא והמשיח -רת -1400-קטן,1400,"H1: first Hebrew letter of each word -> acronym ""כאיקיוהשעבופיתתבאהו"" -> run through live registry methods",insufficient_definition,"isolated occurrence, no cross-row anchor",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ר""ת (רת)",רת,495a2f22-d89a-4962-aaa9-62df99d95b93,צמח דויד רת,,"H1: first Hebrew letter of each word -> acronym ""צד"" -> run through live registry methods",unresolved_historical_method,"anchor cluster: 644 recurs 6x across ""צמח דוד""/""צמח דויד"" spelling variants, spelling-invariant",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,medium,yes,H1 tested and does NOT match this row (anchor cluster)
"ר""ת (רת)",רת,4bf45bbc-91f3-478f-94df-d7de70faeacc,המלחמה תפרוץ בחודש הבא רת,,"H1: first Hebrew letter of each word -> acronym ""התבה"" -> run through live registry methods",insufficient_definition,"isolated occurrence, no cross-row anchor",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,low,no,no claimed_value to test
"ר""ת (רת)",רת,5298a246-499a-46f6-804a-d0f31ffe2dbb,1335 1290 22 12 - רת -7810-גדול ומלים -1202- סת,7810||,(no parseable expression),insufficient_definition,"isolated occurrence, no cross-row anchor",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ר""ת (רת)",רת,63745d65-41df-4a29-8b41-722f36326fc2,266 644- רגיל -1202 רת,1202|,(no parseable expression),insufficient_definition,"isolated occurrence, no cross-row anchor",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ר""ת (רת)",רת,646aa48d-8104-488a-bed1-ba93c41d0630,אשרי המחכה ל1335 -רת,1335,"H1: first Hebrew letter of each word -> acronym ""אהל"" -> run through live registry methods",insufficient_definition,"isolated occurrence, no cross-row anchor",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,low,no,"H1 tested, no match"
