number,sources,status_flag
14,metatron_anchors,
16,metatron_anchors|number_anchors,
17,number_anchors,
26,number_anchors,
44,metatron_anchors,
45,metatron_anchors|number_anchors,
50,metatron_anchors,
59,anchor_families|number_anchors,approved_anchor
62,anchor_families,approved_anchor
73,number_anchors,
75,calculator_anchors|number_roots,
86,number_anchors,
111,calculator_anchors|metatron_anchors|number_anchors|number_roots,
116,anchor_families|number_anchors,approved_anchor
123,metatron_anchors|number_anchors,
127,anchor_families,discovered
145,anchor_families,reviewed
148,anchor_families,approved_anchor
152,metatron_anchors,
156,number_anchors,
216,calculator_anchors|number_anchors,
222,calculator_anchors|number_roots,
223,number_anchors,
224,calculator_anchors,
256,calculator_anchors,
313,calculator_anchors|number_roots,
321,number_anchors,
333,calculator_anchors|number_anchors|number_roots,
358,metatron_anchors|number_anchors,
360,metatron_anchors,
370,metatron_anchors,
414,number_anchors,
444,calculator_anchors,
456,number_anchors,
474,number_roots,
506,number_anchors,
512,calculator_anchors,
555,calculator_anchors,
566,anchor_families|number_anchors,featured
590,number_anchors,
611,number_anchors,
665,number_anchors,
666,calculator_anchors,
776,calculator_anchors|number_anchors|number_roots,
777,calculator_anchors,
878,calculator_anchors|metatron_anchors|number_anchors|number_roots,
888,calculator_anchors|number_roots,
974,number_anchors,
999,calculator_anchors|number_roots,
1024,calculator_anchors,
1118,calculator_anchors|number_roots,
1202,calculator_anchors|number_anchors|number_roots,
1234,calculator_anchors|metatron_anchors|number_anchors|number_roots,
1237,anchor_families|calculator_anchors|number_anchors|number_roots,rejected
1820,calculator_anchors|gold_entity|number_anchors|number_roots,gold_entity_canonical
1948,number_anchors,
2048,calculator_anchors,
2137,number_anchors,
2212,number_anchors,
2216,number_anchors,
2701,number_anchors,
