source_number,control_target,pairing_method,corpus_support,corpus_phrase_count,convergence_support,package_support,independent_evidence_count,evidence_class
4,389,fixed_offset_53_in_160pool,True,10,False,False,1,B
69,396,fixed_offset_53_in_160pool,True,50,True,True,3,E
90,409,fixed_offset_53_in_160pool,True,13,False,False,1,B
95,411,fixed_offset_53_in_160pool,True,10,False,False,1,B
96,420,fixed_offset_53_in_160pool,True,24,True,True,3,E
98,424,fixed_offset_53_in_160pool,True,42,False,True,2,E
100,430,fixed_offset_53_in_160pool,True,21,True,True,3,E
104,451,fixed_offset_53_in_160pool,True,10,False,False,1,B
108,455,fixed_offset_53_in_160pool,True,23,True,True,3,E
110,463,fixed_offset_53_in_160pool,True,11,False,False,1,B
111,466,fixed_offset_53_in_160pool,True,23,True,True,3,E
115,470,fixed_offset_53_in_160pool,True,26,True,True,3,E
119,477,fixed_offset_53_in_160pool,True,20,True,True,3,E
122,480,fixed_offset_53_in_160pool,True,16,False,False,1,B
126,490,fixed_offset_53_in_160pool,True,19,True,True,3,E
131,496,fixed_offset_53_in_160pool,True,15,True,True,3,E
136,497,fixed_offset_53_in_160pool,True,6,False,False,1,B
140,500,fixed_offset_53_in_160pool,True,25,True,True,3,E
143,501,fixed_offset_53_in_160pool,True,22,True,True,3,E
170,502,fixed_offset_53_in_160pool,True,30,True,True,3,E
180,513,fixed_offset_53_in_160pool,True,19,True,True,3,E
186,514,fixed_offset_53_in_160pool,True,35,True,True,3,E
190,515,fixed_offset_53_in_160pool,True,20,True,True,3,E
199,520,fixed_offset_53_in_160pool,True,26,True,True,3,E
205,521,fixed_offset_53_in_160pool,True,22,True,True,3,E
210,526,fixed_offset_53_in_160pool,True,22,True,True,3,E
217,533,fixed_offset_53_in_160pool,True,36,True,True,3,E
220,539,fixed_offset_53_in_160pool,True,2,False,False,1,B
222,552,fixed_offset_53_in_160pool,True,28,True,True,3,E
232,580,fixed_offset_53_in_160pool,True,27,True,True,3,E
240,603,fixed_offset_53_in_160pool,True,10,False,False,1,B
246,620,fixed_offset_53_in_160pool,True,23,True,True,3,E
248,621,fixed_offset_53_in_160pool,True,3,False,False,1,B
257,634,fixed_offset_53_in_160pool,True,21,True,True,3,E
266,644,fixed_offset_53_in_160pool,True,80,True,True,3,E
272,656,fixed_offset_53_in_160pool,True,13,True,True,3,E
277,662,fixed_offset_53_in_160pool,True,6,False,False,1,B
278,670,fixed_offset_53_in_160pool,True,19,False,False,1,B
286,674,fixed_offset_53_in_160pool,True,23,True,True,3,E
295,691,fixed_offset_53_in_160pool,True,5,False,False,1,B
296,696,fixed_offset_53_in_160pool,True,25,True,True,3,E
300,717,fixed_offset_53_in_160pool,True,27,True,True,3,E
302,718,fixed_offset_53_in_160pool,True,27,True,True,3,E
306,748,fixed_offset_53_in_160pool,True,16,False,False,1,B
310,753,fixed_offset_53_in_160pool,True,8,False,False,1,B
318,775,fixed_offset_53_in_160pool,True,24,True,True,3,E
337,779,fixed_offset_53_in_160pool,True,7,False,False,1,B
346,812,fixed_offset_53_in_160pool,True,6,False,False,1,B
350,813,fixed_offset_53_in_160pool,True,7,False,False,1,B
352,815,fixed_offset_53_in_160pool,True,8,False,False,1,B
363,828,fixed_offset_53_in_160pool,True,18,True,True,3,E
378,852,fixed_offset_53_in_160pool,True,7,False,False,1,B
386,876,fixed_offset_53_in_160pool,True,7,False,False,1,B
389,880,fixed_offset_53_in_160pool,True,11,False,False,1,B
396,907,fixed_offset_53_in_160pool,True,6,False,False,1,B
409,915,fixed_offset_53_in_160pool,True,8,False,False,1,B
411,937,fixed_offset_53_in_160pool,True,6,False,False,1,B
420,972,fixed_offset_53_in_160pool,True,8,False,False,1,B
424,973,fixed_offset_53_in_160pool,True,8,False,False,1,B
430,990,fixed_offset_53_in_160pool,True,7,False,False,1,B
451,1005,fixed_offset_53_in_160pool,True,10,False,False,1,B
455,1012,fixed_offset_53_in_160pool,True,8,False,False,1,B
463,1068,fixed_offset_53_in_160pool,True,2,False,False,1,B
466,1111,fixed_offset_53_in_160pool,True,40,True,True,3,E
470,1120,fixed_offset_53_in_160pool,True,16,False,False,1,B
477,1168,fixed_offset_53_in_160pool,True,5,False,False,1,B
480,1212,fixed_offset_53_in_160pool,True,13,False,False,1,B
490,1246,fixed_offset_53_in_160pool,True,2,False,False,1,B
496,1258,fixed_offset_53_in_160pool,True,6,False,False,1,B
497,1308,fixed_offset_53_in_160pool,True,4,False,False,1,B
500,1333,fixed_offset_53_in_160pool,True,10,False,False,1,B
501,1335,fixed_offset_53_in_160pool,True,30,True,True,3,E
502,1413,fixed_offset_53_in_160pool,True,2,False,False,1,B
513,1452,fixed_offset_53_in_160pool,True,2,False,False,1,B
514,1463,fixed_offset_53_in_160pool,True,2,False,False,1,B
515,1472,fixed_offset_53_in_160pool,True,10,False,False,1,B
