number,anchor_flag,corpus_phrase_count,has_topic_card,has_convergence,research_interest_reason
644,False,80,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
2015,False,52,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
396,False,50,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
266,False,48,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
424,False,42,True,False,explicit_zuriel_seed|topic_card|repeated_research_content|multiple_independent_signals
1111,False,40,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
533,False,36,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
514,False,35,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
318,False,35,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
310,False,33,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
386,False,33,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
337,False,31,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
1335,False,30,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
502,False,30,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
306,False,29,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
3960,False,29,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
552,False,28,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
170,False,28,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
580,False,27,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
717,False,27,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
718,False,27,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
520,False,26,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
90,False,26,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
470,False,26,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
96,False,25,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
98,False,25,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
100,False,25,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
119,False,25,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
1692,False,25,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
696,False,25,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
190,False,25,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
240,False,25,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
248,False,25,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
363,False,25,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
500,False,25,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
210,False,24,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
220,False,24,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
775,False,24,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
420,False,24,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
95,False,23,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
620,False,23,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
136,False,23,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
674,False,23,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
217,False,23,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
300,False,23,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
346,False,23,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
350,False,23,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
455,False,23,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
466,False,23,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
521,False,22,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
526,False,22,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
126,False,22,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
180,False,22,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
501,False,22,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
108,False,21,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
110,False,21,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
634,False,21,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
257,False,21,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
277,False,21,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
296,False,21,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
430,False,21,True,True,topic_card|graph_connected_convergence|repeated_research_content|multiple_independent_signals
111,True,"n/a(anchor,excluded_from_density_table)",False,False,explicit_zuriel_seed
222,True,"n/a(anchor,excluded_from_density_table)",True,False,explicit_zuriel_seed|topic_card
