number,sample_stratum,corpus_phrase_count,has_number_node,has_topic_card,has_convergence,anchor_flag
4,C_low_density,1,True,False,False,False
69,E_random_ordinary,13,True,False,False,False
104,D_no_package,12,True,False,False,False
115,A_high_density,17,True,False,False,False
122,A_high_density,15,True,False,False,False
131,E_random_ordinary,14,False,False,False,False
140,A_high_density,23,True,False,False,False
143,B_medium_density,10,True,False,False,False
186,A_high_density,16,True,False,False,False
199,E_random_ordinary,5,False,True,True,False
205,A_high_density,16,True,False,False,False
232,D_no_package,9,False,False,False,False
240,A_high_density,25,True,True,True,False
246,A_high_density,19,False,True,True,False
272,A_high_density,17,True,False,False,False
278,A_high_density,15,True,False,False,False
286,B_medium_density,11,True,False,False,False
295,D_no_package,18,True,False,False,False
302,A_high_density,15,True,False,False,False
352,B_medium_density,12,False,True,True,False
378,D_no_package,16,True,False,False,False
389,D_no_package,10,True,False,False,False
409,D_no_package,13,True,False,False,False
411,D_no_package,10,True,False,False,False
451,B_medium_density,10,True,False,False,False
463,D_no_package,11,True,False,False,False
477,A_high_density,20,True,True,True,False
480,A_high_density,16,True,False,False,False
490,A_high_density,19,True,True,True,False
496,A_high_density,15,False,True,True,False
497,E_random_ordinary,6,True,False,False,False
513,A_high_density,19,False,True,True,False
515,A_high_density,20,True,True,True,False
539,D_no_package,2,True,False,False,False
552,A_high_density,28,True,True,True,False
603,B_medium_density,10,True,False,False,False
621,E_random_ordinary,3,True,False,False,False
656,E_random_ordinary,13,False,True,True,False
662,B_medium_density,6,True,False,False,False
670,E_random_ordinary,19,True,False,False,False
691,B_medium_density,5,True,False,False,False
717,A_high_density,27,True,True,True,False
748,A_high_density,16,True,False,False,False
753,B_medium_density,8,True,False,False,False
779,E_random_ordinary,7,True,False,False,False
812,B_medium_density,6,True,False,False,False
813,B_medium_density,7,True,False,False,False
815,D_no_package,8,True,False,False,False
828,A_high_density,18,True,True,True,False
852,E_random_ordinary,7,True,False,False,False
876,B_medium_density,7,True,False,False,False
880,E_random_ordinary,11,True,False,False,False
907,B_medium_density,6,True,False,False,False
915,D_no_package,8,True,False,False,False
937,B_medium_density,6,True,False,False,False
972,B_medium_density,8,True,False,False,False
973,B_medium_density,8,True,False,False,False
990,B_medium_density,7,True,False,False,False
1005,D_no_package,10,True,False,False,False
1012,B_medium_density,8,True,False,False,False
1068,C_low_density,2,True,False,False,False
1120,D_no_package,16,True,False,False,False
1168,B_medium_density,5,True,False,False,False
1212,E_random_ordinary,13,True,False,False,False
1246,C_low_density,2,True,False,False,False
1258,D_no_package,6,True,False,False,False
1308,D_no_package,4,True,False,False,False
1333,E_random_ordinary,10,True,False,False,False
1413,C_low_density,2,True,False,False,False
1452,E_random_ordinary,2,True,False,False,False
1463,C_low_density,2,True,False,False,False
1472,B_medium_density,10,True,False,False,False
1490,C_low_density,3,True,False,False,False
1532,B_medium_density,5,True,False,False,False
1541,E_random_ordinary,3,True,False,False,False
1557,C_low_density,3,True,False,False,False
1561,E_random_ordinary,1,True,False,False,False
1607,C_low_density,1,True,False,False,False
1608,E_random_ordinary,1,True,False,False,False
1690,E_random_ordinary,2,True,False,False,False
1705,C_low_density,1,True,False,False,False
1710,C_low_density,2,True,False,False,False
1785,D_no_package,2,True,False,False,False
1806,D_no_package,1,True,False,False,False
1810,E_random_ordinary,2,True,False,False,False
1833,D_no_package,3,True,False,False,False
1875,C_low_density,1,True,False,False,False
1899,C_low_density,1,True,False,False,False
1910,E_random_ordinary,2,True,False,False,False
1930,C_low_density,1,True,False,False,False
1999,C_low_density,1,True,False,False,False
2129,E_random_ordinary,1,True,False,False,False
2305,C_low_density,1,True,False,False,False
2521,D_no_package,1,True,False,False,False
2678,C_low_density,1,True,False,False,False
3066,C_low_density,1,True,False,False,False
3626,C_low_density,1,True,False,False,False
3988,C_low_density,1,True,False,False,False
4040,D_no_package,1,True,False,False,False
5775,C_low_density,4,True,False,False,False
