id,original_phrase,numeric_expression,parse_type,parsed_number,parse_confidence,roundtrip_status,gematria_values,self_numeric_hit,cross_research_hits,year_overlap,method_claim_overlap,target_overlap,generated_existing_match,ambiguity_reason,special_flags,source,category_prior
82,עם אחד,אחד,F_ambiguous,,,no_roundtrip,123,False,anchor:123,False,,strong_number_target:123,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:123,auto:תיעוד אירועים wp34138,mixed_numeric_phrase
101,את הכבש אחד תעשה בבקר,אחד,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,contribution:צבי (OPOC),mixed_numeric_phrase
118,אחד מעיר,אחד,F_ambiguous,,,no_roundtrip,333,False,anchor:333,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
136,אמונה באל אחד,אחד,F_ambiguous,,,no_roundtrip,148,False,anchor:148,False,,strong_number_target:148,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:148,excel_import,mixed_numeric_phrase
166,בשתי שבתות,שתי,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,excel_import,mixed_numeric_phrase
176,האחד שלי 1317,אחד,F_ambiguous,,,no_roundtrip,358,False,anchor:358,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
177,האחת היחידה,אחת,F_ambiguous,,,no_roundtrip,456,False,anchor:456,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
184,המלך 1335 1290- לפני 4340- איק בכר לפי- אחד,אחד,F_ambiguous,,,no_roundtrip,2212,False,anchor:2212,False,not_a_method_claim,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
193,הקדוש ברוך הוא + תורה + ישראל + אחד,אחד,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,excel_import,mixed_numeric_phrase
292,שמע ישראל יה וה אלהינו יה וה אחד,אחד,F_ambiguous,,,no_roundtrip,1118,False,anchor:1118,False,,strong_number_target:1118,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1118,excel_import,mixed_numeric_phrase
340,באים כאחד,אחד,F_ambiguous,,,no_roundtrip,86,False,anchor:86,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,promoted:raw_docx_v2,mixed_numeric_phrase
362,לב אחד,אחד,F_ambiguous,,,no_roundtrip,45,False,anchor:45,False,,strong_number_target:45,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:45,promoted:raw_docx_v2,mixed_numeric_phrase
367,מקרה אחד,אחד,F_ambiguous,,,no_roundtrip,358,False,anchor:358,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,promoted:raw_docx_v2,mixed_numeric_phrase
453,האחד שלי,אחד,F_ambiguous,,,no_roundtrip,358,False,anchor:358,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,sod1820,mixed_numeric_phrase
455,הקדוש ברוך הוא תורה ישראל אחד,אחד,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,sod1820,mixed_numeric_phrase
474,בשתי ידים,שתי,F_ambiguous,,,no_roundtrip,776,False,anchor:776,False,,strong_number_target:776,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:776,wp_id:23886,mixed_numeric_phrase
477,שני,שני,F_ambiguous,,,no_roundtrip,360,False,anchor:360,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,auto:תיעוד אירועים wp33173,ambiguous
481,11111 דרגת היחידה- לפי אחת,אחת,F_ambiguous,,,no_roundtrip,2701,False,anchor:2701,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,ambiguous
491,1335- מילוי ללא -לפי אחד,אחד,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,no_claimed_value,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,excel_import,ambiguous
494,אבקר בהילכך ב22 12 - לפני - לפי אחת,אחת,F_ambiguous,,,no_roundtrip,2212,False,anchor:2212,False,not_a_method_claim,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,ambiguous
509,השם אחד,אחד,F_ambiguous,,,no_roundtrip,358,False,anchor:358,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,ambiguous
515,יהוה יערוך נר למשיח ב2015- לפני לפי אחת,אחת,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,True,not_a_method_claim,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,excel_import,ambiguous
