id,original_phrase,numeric_expression,parse_type,parsed_number,parse_confidence,roundtrip_status,gematria_values,self_numeric_hit,cross_research_hits,year_overlap,method_claim_overlap,target_overlap,generated_existing_match,ambiguity_reason,special_flags,source,category_prior
1,אלף,אלף,B_cardinal_number,1000,high,exact_roundtrip,111,False,anchor:111;research_interest:111,False,,strong_number_target:111,,,B_gematria_hits:111,auto:תיעוד אירועים wp16294,numeric_quantity
2,עשרים,עשרים,B_cardinal_number,20,high,exact_roundtrip,620,False,research_interest:620,False,,strong_number_target:620,,,B_gematria_hits:620,auto:תיעוד אירועים wp16571,numeric_quantity
3,שבעים וחמש,"חמש, שבעים",B_cardinal_number,75,high,exact_roundtrip,776,False,anchor:776,False,,strong_number_source:75;strong_number_target:776,75,,A_words_denote:75;B_gematria_hits:776,auto:תיעוד אירועים wp16571,numeric_quantity
4,שלושים ושלושה,"שלושה, שלושים",B_cardinal_number,33,high,alternate_valid_form,1333,False,,False,,,,,,auto:תיעוד אירועים wp16571,numeric_quantity
5,אלף ארבעים וארבע,"אלף, ארבע, ארבעים",B_cardinal_number,1044,high,exact_roundtrip,713,False,,False,,,,,,auto:תיעוד אירועים wp19647,numeric_quantity
6,שבעים חמש,"חמש, שבעים",B_cardinal_number,75,high,normalized_roundtrip,770,False,,False,,strong_number_source:75,,,A_words_denote:75,auto:תיעוד אירועים wp27754,numeric_quantity
7,שבע מאות,"מאות, שבע",B_cardinal_number,700,high,exact_roundtrip,819,False,,False,,,,,,auto:תיעוד אירועים wp32852,numeric_quantity
8,מאה ארבעים ושמונה,"ארבעים, מאה, שמונה",B_cardinal_number,148,high,exact_roundtrip,776,False,anchor:776,False,,strong_number_source:148;strong_number_target:776,148,,A_words_denote:148;B_gematria_hits:776,auto:תיעוד אירועים wp9298,numeric_quantity
9,אלף חמש מאות ושש,"אלף, חמש, מאות, שש",D_year_expression,1506,high,exact_roundtrip,1512,False,,False,,,,,,excel_import,numeric_quantity
10,אלף שלש מאות שלשים וחמש,"אלף, חמש, מאות, שלש, שלשים",D_year_expression,1335,high,normalized_roundtrip,2222,False,,False,,,,,,excel_import,numeric_quantity
