identity,surface_form,lang,alias_type,canonical_word_id,node_id,source,verification,method_values,related_numbers,graph_links,research_packages,ambiguity,verdict
סוד (Secret-concept),סוד,he,canonical,gematria_words.id,26852c3b-84f0-4cc9-a995-2e23a6231712,excel_import,verified (is_verified=true),"{""אטבח"": 50, ""אלבם"": 144, ""אתבש"": 188, ""גדול"": 70, ""קדמי"": 286, ""רגיל"": 70, ""מילוי"": 576, ""מסתתר"": 56, ""ריבוע"": 196, ""סידורי"": 25, ""משולש גדול"": 286, ""אותיות אחרי"": 82, ""אותיות לפני"": 58}",ragil=70 (corpus_phrase_count=15),edges=14,,,PASS
טוב (good-concept),טוב,he,canonical,gematria_words.id,(none),wp_id:23886,verified,"{""אטבח"": 13, ""אלבם"": 320, ""אתבש"": 430, ""גדול"": 17, ""קדמי"": 69, ""רגיל"": 17, ""מילוי"": 853, ""מסתתר"": 7, ""ריבוע"": 41, ""סידורי"": 17, ""משולש גדול"": 69, ""אותיות אחרי"": 20, ""אותיות לפני"": 14}",ragil=17 (corpus_phrase_count=?),"no node_id -- corpus-only word, not promoted to graph node",,"node not yet promoted to graph -- real, disclosed gap, not fabricated",PASS (with disclosed gap)
כבוד (glory-concept),כבוד,he,canonical,gematria_words.id,(none),promoted:raw_docx_v2,verified,"{""אטבח"": 98, ""אלבם"": 580, ""אתבש"": 510, ""גדול"": 32, ""קדמי"": 109, ""רגיל"": 32, ""מילוי"": 968, ""מסתתר"": 24, ""ריבוע"": 102, ""סידורי"": 23, ""משולש גדול"": 109, ""אותיות אחרי"": 45, ""אותיות לפני"": 19}",ragil=32 (corpus_phrase_count=?),no node_id,,,PASS (with disclosed gap)
"דוד (King David, the person)",דוד,he,canonical,gematria_words.id,fabd7917-e5e5-4e86-9092-051f0b4d6ec7,sod1820,verified,"{""אטבח"": 16, ""אלבם"": 200, ""אתבש"": 280, ""גדול"": 14, ""קדמי"": 41, ""רגיל"": 14, ""מילוי"": 890, ""מסתתר"": 4, ""ריבוע"": 28, ""סידורי"": 14, ""משולש גדול"": 41, ""אותיות אחרי"": 17, ""אותיות לפני"": 11}",ragil=14 (corpus_phrase_count=14),edges=20,,,PASS
"אליהו (Elijah, the person)",אליהו,he,canonical,gematria_words.id,a0709a52-6a4f-45ea-a2af-33843f6f82ac,wp_id:36710,verified,"{""אטבח"": 178, ""אלבם"": 481, ""אתבש"": 630, ""גדול"": 52, ""קדמי"": 197, ""רגיל"": 52, ""מילוי"": 242, ""מסתתר"": 55, ""ריבוע"": 171, ""סידורי"": 34, ""משולש גדול"": 197, ""אותיות אחרי"": 75, ""אותיות לפני"": 438}",ragil=52 (corpus_phrase_count=16),edges=5,,"entity node importance=5, world=אנשים -- no English alias exists anywhere (word_aliases or language_bridge) despite being a major biblical figure -- REAL, disclosed coverage gap, not filled speculatively",PASS (coverage gap noted)
"דוד המלך (King David, full title)",דוד המלך,he,canonical,gematria_words.id,5b53b033-85a2-46d5-b748-d9906f61a2b4,auto:תיעוד אירועים wp31911,verified,"{""אטבח"": 171, ""אלבם"": 673, ""אתבש"": 430, ""גדול"": 589, ""קדמי"": 381, ""רגיל"": 109, ""מילוי"": 1159, ""מסתתר"": 59, ""ריבוע"": 248, ""סידורי"": 55, ""משולש גדול"": 2301, ""אותיות אחרי"": 143, ""אותיות לפני"": 75}",ragil=109 (corpus_phrase_count=17),edges=1,,"same referent as identity ""דוד"" above but a DIFFERENT gematria value (109 vs 14) -- title/name are not interchangeable for gematria purposes, proving identity != spelling != gematria (Sec.5)",PASS
בן דוד (Son of David / Messiah title),בן דוד,he,canonical,gematria_words.id,32f75f33-aa55-43c0-83cb-8bccef77ee4f,auto:תיעוד אירועים wp9377,verified,"{""אטבח"": 324, ""אלבם"": 243, ""אתבש"": 589, ""גדול"": 716, ""קדמי"": 239, ""רגיל"": 66, ""מילוי"": 1408, ""מסתתר"": 52, ""ריבוע"": 82, ""סידורי"": 30, ""משולש גדול"": 3339, ""אותיות אחרי"": 80, ""אותיות לפני"": 52}",ragil=66 (corpus_phrase_count=14),edges=5,,,PASS
"מלך המשיח (King Messiah, title)",מלך המשיח,he,canonical,gematria_words.id,676e30b3-3e58-485e-b0e7-ba12fa8eb885,excel_import,verified,"{""אטבח"": 357, ""אלבם"": 885, ""אתבש"": 262, ""גדול"": 933, ""קדמי"": 1671, ""רגיל"": 453, ""מילוי"": 1147, ""מסתתר"": 607, ""ריבוע"": 1313, ""סידורי"": 93, ""משולש גדול"": 3591, ""אותיות אחרי"": 605, ""אותיות לפני"": 310}",ragil=453 (corpus_phrase_count=16),edges=7,topic_card@453;convergence_node@453,,PASS
"דוד/דויד (same person, 2 spellings)",דוד,he,spelling_variant,gematria_words.id,fabd7917-e5e5-4e86-9092-051f0b4d6ec7,sod1820,verified,"{""אטבח"": 16, ""אלבם"": 200, ""אתבש"": 280, ""גדול"": 14, ""קדמי"": 41, ""רגיל"": 14, ""מילוי"": 890, ""מסתתר"": 4, ""ריבוע"": 28, ""סידורי"": 14, ""משולש גדול"": 41, ""אותיות אחרי"": 17, ""אותיות לפני"": 11}",ragil=14 (corpus_phrase_count=14),edges=20,,"paired with דויד below -- same referent, DIFFERENT ragil (14 vs 24)",PASS
"דוד/דויד (same person, 2 spellings)",דויד,he,spelling_variant,gematria_words.id,(none),auto:תיעוד אירועים wp16571,verified,"{""אטבח"": 106, ""אלבם"": 500, ""אתבש"": 320, ""גדול"": 24, ""קדמי"": 96, ""רגיל"": 24, ""מילוי"": 910, ""מסתתר"": 12, ""ריבוע"": 58, ""סידורי"": 24, ""משולש גדול"": 96, ""אותיות אחרי"": 37, ""אותיות לפני"": 20}",ragil=24 (corpus_phrase_count=10),"no node_id -- the כתיב-מלא spelling variant is NOT linked to the same node as דוד; the graph does not yet encode ""these are the same identity""",,REAL GAP: no edge/alias connects דוד<->דויד as the same identity despite being the single most common spelling-variant pair in the whole corpus (also seen repeatedly in Methods Expansion Phase 1 and Numeric Language work),"FAIL -- capability gap, not model failure"
