table,pdf_page,printed_page,printed_page_display,letter,column,parasha,source_value,normalized_integer,book,source_anchor,verification_state,ocr_confidence,exception_or_note,arithmetic_checksum_state
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,צו,,109,ויקרא,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,Vayikra parasha list for tail of letter Dalet; Bereshit/Shemot data for this letter fall before p.36 (out of this task's page range) and are NOT captured here.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,שמיני,,84,ויקרא,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,Vayikra parasha list for tail of letter Dalet; Bereshit/Shemot data for this letter fall before p.36 (out of this task's page range) and are NOT captured here.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,תזריע,,56,ויקרא,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,Vayikra parasha list for tail of letter Dalet; Bereshit/Shemot data for this letter fall before p.36 (out of this task's page range) and are NOT captured here.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,מצורע,,96,ויקרא,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,Vayikra parasha list for tail of letter Dalet; Bereshit/Shemot data for this letter fall before p.36 (out of this task's page range) and are NOT captured here.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,אחרי,,111,ויקרא,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,Vayikra parasha list for tail of letter Dalet; Bereshit/Shemot data for this letter fall before p.36 (out of this task's page range) and are NOT captured here.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,קדושים,,61,ויקרא,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,Vayikra parasha list for tail of letter Dalet; Bereshit/Shemot data for this letter fall before p.36 (out of this task's page range) and are NOT captured here.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,אמור,,158,ויקרא,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,Vayikra parasha list for tail of letter Dalet; Bereshit/Shemot data for this letter fall before p.36 (out of this task's page range) and are NOT captured here.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,בהר,,55,ויקרא,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,Vayikra parasha list for tail of letter Dalet; Bereshit/Shemot data for this letter fall before p.36 (out of this task's page range) and are NOT captured here.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,בחקתי,,78,ויקרא,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,Vayikra parasha list for tail of letter Dalet; Bereshit/Shemot data for this letter fall before p.36 (out of this task's page range) and are NOT captured here.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,(Vayikra cumulative subtotal),ד' אלף רכ״ח,4228,ויקרא,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,"Running/cumulative total after Vayikra, NOT a Vayikra-only subtotal (see counting-contract finding: markers are cumulative, colon terminates the final Torah-wide figure).",not_checked_missing_prior_books
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,נשא,,230,במדבר,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,בהעלתך,,255,במדבר,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
