entity,entity_method,value,match_phrase,match_method,match_is_entity
אב,רגיל,3,הוד,מסתתר,True
אב,סידורי,3,הוד,מסתתר,True
אב,גדול,3,הוד,מסתתר,True
אב,קדמי,4,ק,אתבש,False
אב,קדמי,4,דוד,מסתתר,True
אב,קדמי,4,זוג,מסתתר,False
אב,אלבם,70,ספר גל,אלבם,False
אב,אלבם,70,שבת,אלבם,True
אב,אלבם,70,אחכה לו,גדול,False
אב,אלבם,70,בלבול,גדול,False
אב,אלבם,70,גאוני,גדול,False
אב,אלבם,70,גוג ומגוג,גדול,False
אב,אלבם,70,סוד,גדול,True
אב,אלבם,70,עבד,מסתתר,False
אב,אלבם,70,אגן משיח,סידורי,False
אב,אלבם,70,אורניום,סידורי,False
אב,אלבם,70,אני צומח,סידורי,False
אב,אלבם,70,בדא סיפרא,סידורי,False
אב,אלבם,70,ביטקוין,סידורי,True
אב,אלבם,70,בצר להם,סידורי,False
אב,אלבם,70,בראק אובאמה,סידורי,False
אב,אלבם,70,גימטריה,סידורי,False
אב,אלבם,70,המשיח יבא,סידורי,False
אב,אלבם,70,הערפל,סידורי,False
אב,אלבם,70,הרמז סוד,סידורי,False
אב,אלבם,70,התגלות,סידורי,True
אב,אלבם,70,חודש אלול,סידורי,False
אב,אלבם,70,י הוה רופא,סידורי,False
אב,אלבם,70,יהוה קדש,סידורי,False
אב,אלבם,70,יהוה שטן,סידורי,False
אב,אלבם,70,מלכותו,סידורי,False
אב,אלבם,70,ניצחון,סידורי,True
אב,אלבם,70,סוד רפח,סידורי,False
אב,אלבם,70,עת הגאולה,סידורי,False
אב,אלבם,70,פולייס,סידורי,False
אב,אלבם,70,קורונה,סידורי,True
אב,אלבם,70,קרב יום,סידורי,False
אב,אלבם,70,קרובים,סידורי,False
אב,אלבם,70,רמז פלא,סידורי,False
אב,אלבם,70,שאול חי בי,סידורי,False
אב,אלבם,70,שואה בדרך,סידורי,False
אב,אלבם,70,תהלה לדוד,סידורי,False
אב,אלבם,70,יה,קדמי,True
אב,אלבם,70,אחכה לו,רגיל,False
אב,אלבם,70,בוא היום,רגיל,False
אב,אלבם,70,בלבול,רגיל,False
אב,אלבם,70,גאוני,רגיל,False
אב,אלבם,70,גוג ומגוג,רגיל,False
אב,אלבם,70,יין,רגיל,False
אב,אלבם,70,סוד,רגיל,True
אב,מילוי,523,החלום. גולן גוף,אלבם,False
